szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
ABA Ádám,1,https://www.arcanum.hu/hu/online-kiadvanyok/Lexikonok-magyar-eletrajzi-lexikon-7428D/k-760F2/kerpel-jeno-kerpely-claudius-eugen-k-claudius-claude-dacy-7636D/,NA,"RESOLVE neki nem kellene a szerzők között előkerülnie, mert ő a kötet szerkesztője-forditója",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABÁDI Péter,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ÁBEL Péter,1,https://www.wikidata.org/wiki/Q12738797,NA,NA,férfi,1929-02-23,Budapest,19.040833333,47.498333333,1992-06-08,Budapest,19.040833333,47.498333333,7087870,NA
ABET János,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABONYI Árpád,1,https://www.wikidata.org/wiki/Q279011,NA,NA,férfi,1865-09-11,Garamszentkereszt,18.853333333,48.591944444,1918-07-25,Budapest,19.040833333,47.498333333,39125767,NA
ÁBRAHÁM Ernő,2,https://www.wikidata.org/wiki/Q239250,NA,NA,férfi,1882-03-15,Debrecen,21.639166666,47.53,1945-05-07,Budapest,19.040833333,47.498333333,5289705,103351392X
ÁBRÁNYI Emil,48,https://www.wikidata.org/wiki/Q324159,NA,NA,férfi,1851-01-01,Pest,19.1,47.5,1920-05-20,Szentendre,19.0725,47.673333333,3469104,126561087
ÁBRÁNYI Kornél,4,https://www.wikidata.org/wiki/Q323673,NA,NA,férfi,1849-12-27,Pest,19.1,47.5,1913-03-11,Budapest,19.040833333,47.498333333,302076502,143423525
ÁCS Károly,7,https://www.wikidata.org/wiki/Q1415692,NA,NA,férfi,1928-09-08,Szabadka,19.67,46.098333333,2007-07-03,Köln,6.957777777,50.942222222,30434023,NA
ÁCS Kató,1,https://www.wikidata.org/wiki/Q19702881,NA,NA,nő,1917-09-09,Budapest,19.040833333,47.498333333,1989-12-07,Budapest,19.040833333,47.498333333,121362896,NA
ACZÉL Tamás,40,https://www.wikidata.org/wiki/Q482075,NA,NA,férfi,1921-12-16,Budapest,19.040833333,47.498333333,1994-04-18,Boston,-71.0625,42.358333333,22552496,NA
ADORJÁN Boldizsár,2,https://www.wikidata.org/wiki/Q505445,NA,NA,férfi,1820-05-02,Gortvakisfalud,20.025,48.295833,1867-07-13,NA,NA,NA,NA,NA
