szerzo,count
ABA Ádám,1
ABÁDI Péter,1
ÁBEL Péter,1
ABET János,2
ABONYI Árpád,1
ÁBRAHÁM Ernő,2
ÁBRÁNYI Emil,48
ÁBRÁNYI Kornél,4
ÁCS Károly,7
ÁCS Kató,1
ACZÉL Tamás,40
ADORJÁN Boldizsár,2
ADY Endre,6045
ÁGH István,6
ALADÁR László,1
ALFÖLDI Imre,1
ALTAY Margit,1
AMADÉ László,8
AMBRÓZY Ágoston,2
AMBRUS Zoltán,35
ANDRÁSSY Béla,2
ANKA János,2
ANONYMUS,1
ÁNYOS Pál,15
APÁCZAI Csere János,1
APÁTHY István,3
APÁTI Ferenc,3
APLIN A.,1
ÁPRILY Lajos,167
ARADI Victor,2
ARADI Zsolt,2
ARANY János,1211
ARANY László,2
ARANYOSI Magda,1
ARANYOSSY Magda,2
ARATÓ Erzsébet,1
ARATÓ Károly,3
ÁRKUS József,1
ARNOLD Füry Lajos,1
ÁRVAY,1
ÁRVAY Sándor,2
ÁSGUTHY Erzsébet,1
ASZLÁNYI Károly,5
ASZTALOS István,101
ASZTALOS Sándor,2
B. RADÓ Lili,2
BABAY József,5
BABITS Mihály,471
BAGHY Gyula,107
BAJA Mihály,1
BAJZA József,50
BAKUCZ József,10
BALASSA Ilona,4
BALASSA Imre,1
BALASSI Bálint,113
BALÁZS Ákos,1
BALÁZS Anna,14
BALÁZS Béla,128
BALÁZS István,1
BALÁZS József,1
BALÁZS S.,1
BALÁZS Sándor,9
BÁLINT György,37
BÁLINT István,1
BÁLINT Tibor,5
BALLA Borisz,2
BALLA Ignác,10
BALLA László,136
BALÓ Tasziló,3
BALOG Lajos (vasadi),1
BALOGH Barna,12
BALOGH Edgár,2
BALOGH László,1
BALOGH Zoltán,7
BALYA Ibolyka,1
BÁN Aladár,1
BÁNFFY Miklós,4
BANGÓ Pető,2
BÁNYAI Kornél,1
BARABÁS Gyula,3
BARABÁS Pál,5
BARABÁS Tibor,6
BÁRÁNY Tamás,6
BARANYI Ferenc,12
BARÁT Endre,2
BARÁT Lajos,1
BARÁTH György,1
BARÁTH Lajos,7
BARCSAY Ábrahám,7
BÁRD Miklós,7
BÁRD Oszkár,3
BÁRDOS László,2
BÁRDOSI Németh László,1
BARÉNYI Olga,3
BARI Károly,9
BARKOVICS István,1
BARNA Ignácz,1
BARNA Izidor,1
BARNA J.,6
BARÓTI SZABÓ Dávid,9
BÁRSONY István,27
BARSY Irma,1
BARTA Lajos,29
BARTA Lajos idősb,6
BARTA Lajos ifj. (Erich Barlud álnévvel),3
BARTA Sándor,12
BARTALIS János,81
BARTÓK Lajos,75
BARTÓKI József,1
BÁTHORY Nándorné,1
BATIZI András (1540.),1
BÁTORI Miklós,1
BATSÁNYI János,46
BATTHYÁNY Lajos gróf,1
BATTHYÁNY-TREFORT Edith,1
BECK Blanka,2
BECSKY Irén,1
BECZÁSSY Judit,1
BEDE Anna,5
BEDE Jób,1
BÉKEFFI István,1
BÉKÉS Sándor,1
BÉKÉS Virág,2
BÉKESSY János,19
BELLA István,1
BENCZE Jenő,1
BENCZUR László,2
BENEDEK Elek,17
BENEDEK István,5
BENEDEK Marcell,1
BENICZKY Péter,7
BENICZKYNÉ BAJZA Lenke,16
BENJÁMIN Ferenc,5
BENJÁMIN László,203
BENŐFI Sámuel,2
BEÖTHY László,1
BEÖTHY Zsigmond,3
BEÖTHY Zsolt,4
BERCZELLI A. Károly,1
BERCZIK Árpád,13
BÉRCZY Károly,4
BERDA József,19
BERDE Mária,9
BERECZ Károly,2
BEREMÉNYI Géza,2
BEREND Miklósné,2
BÉRES Attila,2
BÉRI Zsigmond,1
BERKES Imre,1
BERKES Péter,5
BERKESI András,29
BERNÁTH Aurél,1
BERNÁTH Gáspár,9
BERTA Ilona,1
BERTALAN István,5
BERTHA Bulcsu,12
BERZEVICZY Albert,1
BERZSENYI Dániel,154
BESSENYEI György,7
BETHLEN (Árva) Kata,1
BETHLEN Margit,14
BETHLEN Miklós,1
BETLEN Oszkár,1
BEZERÉDY Amália,1
BIBÓ Lajos,8
BIHARI Klára,2
BIHARI Sándor,7
BIKICH Gábor,3
BIRKÁS Endre,1
BÍRÓ Lajos,52
BÍRÓ Zoltán (Gelsei),2
BLASKÓ Mária,2
BOBULA Ida,2
BODA István,1
BODÁS János,1
BODONYI Nándor,1
BODOR Ádám,1
BODOR Aladár,2
BODROG Miklós,3
BODROGI Sándor,3
BODROGI Zsigmond,2
BOHUNICZKY Szofi,1
BÓKA László,13
BÓKAY János,20
BOLDIZSÁR Iván,7
BÖLÖNYI György,1
BÓNYI Adorján,3
BOR Ambrus,1
BORBÉLY László,2
BORDA Gábor,1
"BORGOMANERI, Aldo",1
BORNEMISZA Péter,11
BOROS Éva,1
BOROSS Mihály,1
BOROSS Vilmos,5
BOROSTYÁNI Nándor,3
BORSHY KEREKES György,2
BORSI KEREKES György,1
BORSY Irma K.,1
BORUTH Elemér,2
BOTOND-BOLICS György,3
BOWRING John,1
BOZZAY Pál,4
BRODARICS István,1
BRÓDY László,1
BRÓDY Lilly,3
BRÓDY Sándor,53
BRUNSWICK Teréz grófnő,1
BUCZI Emil,8
BUDA Ferenc,7
BUDAY György,3
BULLA János,4
BÚS FEKETE László,9
BÜTTNER Júlia,1
BUZÁS Andor,1
"CANNINI, Marco Antonio",2
CHOLNOKY Géza,2
CHOLNOKY László,2
CHOLNOKY Viktor,4
CS. SZABÓ László,12
CSÁK Gyula,1
CSÁKTORNYAI Lajos,3
CSANÁDI Imre,35
CSANÁDI János,1
CSÁNYI,1
CSAPÓ György,2
CSÁSZÁR Elemér,1
CSÁSZÁR Ferenc,5
CSÁSZÁR István,2
CSÁTH Géza,10
CSATHÓ Kálmán,33
CSÁTI Demeter,4
CSENGERY Gusztáv,3
CSENGEY Gusztáv,1
CSEPELI SZABÓ Béla,1
CSEPREGHY Ferenc,3
CSERES Tibor,13
CSERHALMI Imre,1
CSERMELY Gyula,2
CSERMELYI Sándor,1
CSERNAI Zoltán,3
CSETÉNYI Erzsi,1
CSIGHY Sándor,1
CSIKI László,3
CSIKY Gergely,35
CSILLIK Gábor,1
CSIZMADIA Sándor,9
CSOHÁNY Gabriella,1
CSOKITS János,2
CSOKONAI VITÉZ Mihály,138
CSOKOR Ferenc,1
CSONTOS Gábor,1
CSOÓRI Sándor,113
CSORBA Győző,22
CSÖRSZ István,1
CSUKA Edit,1
CSUKA Zoltán,63
CSUKÁS István,4
CSURKA István,30
CUENDET Alice,1
CZANYUGA Jozsef,1
CZIFFRA Géza,2
CZIGÁNY György,7
CZINKE Ferencz,1
CZIRÁKY Imre,1
CZÓBEL Minka,27
CZOBOR Cornélia,1
CZUCZOR Gergely,45
DALHY János,1
DALLOS Sándor,10
DALMADY Győző,7
DÁN György,1
DÁN Leo (D'Amant),1
DÁNÉR Lajos,1
DARÁZS Endre,2
DARMAY Viktor,2
DARVAS József,43
DARVAS Szilárd,6
DAYKA Gábor,8
DEÁK Ferenc,1
DEÁK Mihály (Moldovából),1
DEBRECZENI József,30
DEGRÉ Alajos,5
DÉKÁNY András,11
DELI (Thalloczy Lajos),1
DEMÉNY Ottó,3
DEMETER Imre,1
DÉNES Gizella,1
DÉRY György,4
DÉRY Tibor,304
DETRE László,1
DETREHEMY József,2
DEVECSERI Gábor,34
DIE EROBERTE,1
DIENES Lajos,1
DIETL Fedor,1
DIVALD Kornél,1
DIVINYI Mehmet,1
DOBAI Péter,6
DOBAY Olga,2
DOBLHOFF Lilly,1
DOBOZY Imre,63
DÖBRENTEI Gábor,21
DÖBRENTEI Kornél,1
DOBROVICH Ágost,1
DOCZI József,5
DÓCZI Lajos,20
DOMOKOS HARAGA Balázs,1
DOMONKOS István,10
DÖMÖTÖR Pál,2
DORMÁNDY László,6
DÓZSA Dániel,1
DRASKOCZY JÖRG Ilma,1
DSIDA Jenő,18
DUDÁS Kálmán,1
DUE LIRE DI NOVELLE,1
DUNAI László,1
DUTKA Ákos,7
DUTKA Mária,1
ÉGLY Mihály,2
EGRI Lajos,2
EGRI Viktor,35
EGRY Irén,2
EGY János,1
ELEK Artur,1
EMŐD Tamás,9
ENDREFFY János,2
ENDRŐDI János,5
ENDRŐDI Sándor,2
ENDRŐDY János,1
ENDRŐDY Sándor,119
EÖRSI István,7
EÖSZE László,1
EÖTVÖS József,117
EÖTVÖS Károly,9
ERDEI Ferenc,2
ERDÉLYI János,21
ERDÉLYI József,122
ERDŐDY A.,1
ERDŐDY János,6
ERDŐDY Mihály,3
ERDŐS Jenő,1
ERDŐS László,1
ERDŐS Renée,16
ERDŐSI Károly,1
ERKEL Ferenc,1
ERZSÉBET Királynő,1
FÁBIÁN Béla,1
FÁBIÁN Zoltán,32
FÁBRI Péter,3
FALK Zsigmond,4
FALU Tamás,11
FALUDI Ferenc,31
FALUDY György,9
FANCHALI Jób Ján kódexből,1
FARKAS András,1
FARKAS Antal,5
FARKAS Árpád,4
FARKAS Emőd,17
FARKAS György,1
FARKAS Gyula,1
FARKAS Imre,8
FARKAS Pál,5
FÁY András,350
FÁY Ferenc,2
FAZEKAS Anna,4
FAZEKAS Mihály,22
FEHÉR Ferenc,28
FEHÉR Kálmán,4
FEHÉR Klára,39
FEHÉR Lajos,1
FEJES Endre,63
FEJTŐ Ferenc,1
FEKETE Géza,2
FEKETE Gyula,16
FEKETE István,35
FEKETE Lajos,3
FEKETE Sándor,1
FELEKI László,3
FELEKI Sándor,3
FELICZIÁN Vilmos,1
FENÁKEL Judit,1
FENYŐ László,3
FERENCZY Teréz,3
FILO Károly,8
FLÓRIÁN Tibor,3
FODOR András,25
FODOR Béla,1
FODOR József,80
FODOR László,17
FÖLDEÁK János,5
FÖLDES Imre,2
FÖLDES Jolán,51
FÖLDES Mihály,3
FÖLDES Pál,1
FÖLDES Péter,3
FÖLDES Zoltán,1
FÖLDI Lajos,1
FÖLDI Mihály,34
FORBÁTH Imre,1
FORBÁTH Sándor,3
FORRÓ Pál,3
FOTHY János,5
FÓTI Andor,2
FRANYÓ Zoltán,3
FRIEDRICH Lajos,3
FÜLÖP Dezső,1
FÜLÖP János,6
FÜSI József,1
FÜST Milán,215
GAAL József,1
GAÁL Katalin,3
GAAL Mózes,2
GAÁL Mózes,5
GAÁL Zsigmond,1
GÁBOR Andor,124
GÁBOR Zoltán,3
GÁDOR Béla,57
GÁL György Sándor,1
GÁL József,4
GÁL László,71
GALABÁRDI Zoltán,6
GALAMBOS Lajos,17
GALAMBOS Margit,1
GALAMBOS Szilveszter,2
GALGÓCZI Erzsébet,25
GÁLL István,4
GÁLYI Gyula,1
GARA N. és GARA László,1
GARAI,1
GARAI Ferenc,1
GARAI Gábor,103
GARAI GÁBOR,69
GARAI János,50
GARAI Norbert,1
GARAY János,12
GÁRDONYI Géza,140
GÁSPÁR Gyula,1
GÁSPÁR Imre,3
GÁSPÁR Jenő,7
GÁSPÁR Kornél,1
GÁSPÁR Lóránd,1
GÁSPÁR Margit,2
