city,year_n,nyelv,works
Aalborg,1894,dán,1
Aalborg,1897,dán,1
Aarhus,1959,eszperantó,1
Aarhus,NA,eszperantó,1
Aarschot,1926,flamand,1
Acqui,1861,olasz,1
Akron,1902,angol,0.3333333333333333
Almaty,1954,kazah,2
Almaty,1954,ujgur,10
Almaty,1955,kazah,144
Almaty,1956,kazah,31
Almaty,1957,kazah,2
Almaty,1966,kazah,30
Almaty,1969,kazah,212
Amsterdam,1887,holland,1
Amsterdam,1922,holland,1
Amsterdam,1925,holland,2
Amsterdam,1927,német,0.5
Amsterdam,1934,holland,2
Amsterdam,1937,holland,3
Amsterdam,1937,német,1
Amsterdam,1938,holland,1
Amsterdam,1938,német,3.5
Amsterdam,1939,német,2
Amsterdam,1942,holland,0.5
Amsterdam,1943,holland,0.5
Amsterdam,1944,holland,1
Amsterdam,1946,holland,0.5
Amsterdam,1947,holland,2
Amsterdam,1951,holland,3
Amsterdam,1952,holland,4.5
Amsterdam,1953,holland,6
Amsterdam,1956,holland,1
Amsterdam,1958,holland,27
Amsterdam,1959,holland,2
Amsterdam,1960,holland,1
Amsterdam,1962,holland,1
Amsterdam,1964,holland,19
Amsterdam,1965,holland,1
Amsterdam,1969,holland,9
Amsterdam,1972,holland,1.5
Amsterdam,1976,holland,1
Amsterdam,1977,holland,74
Amsterdam,NA,eszperantó,1
Amsterdam,NA,holland,45
Angoulème,1939,francia,15
Ankara,1944,török,1
Ankara,1945,török,2
Ankara,1946,török,18
Ankara,1947,török,2
Ankara,1948,török,11
Ankara,1949,török,9
Ankara,1950,török,1
Ankara,1951,török,1
Ankara,1952,török,17
Ankara,1967,török,3
Ankara,1968,török,1.5
Ankara,NA,török,8
Ann Arbor,1977,angol,55
Antwerpen,1933,holland,1
Antwerpen,1935,holland,1
Antwerpen,1942,holland,0.5
Antwerpen,1943,holland,2.5
Antwerpen,1944,holland,1
Antwerpen,1946,holland,0.5
Antwerpen,1947,holland,0.5
Antwerpen,1949,holland,1
Antwerpen,1950,holland,3
Antwerpen,1952,holland,2
Antwerpen,1956,flamand,1
Antwerpen,1956,holland,1
Antwerpen,1957,flamand,1
Antwerpen,1958,holland,0.5
Antwerpen,1959,flamand,1
Antwerpen,1960,holland,1
Antwerpen,1962,holland,1
Antwerpen,1964,flamand,11
Antwerpen,1964,holland,1
Antwerpen,1967,holland,1
Antwerpen,1972,holland,0.5
Antwerpen,1976,flamand,0.5
Antwerpen,NA,flamand,0.3333333333333333
Antwerpen,NA,holland,0.5
Arad,1916,román,1
Arad,1925,román,1
Arad,1936,német,1
Arad,1939,román,2
Arad,1949,román,2
Arnhem,1874,holland,1
Ashgabat,1955,türkmén,89
Ashgabat,1959,türkmén,1
Ashgabat,1961,orosz,1
Assisi,1874,olasz,2
Athén,1861,görög,1
Athén,NA,görög,1
Bacău,1949,román,3
Bad Kissingen,1948,német,1
Bad Wörishofen,1953,német,2
Baden-Baden,1929,német,3
Bahia,1958,portugál,0.3333333333333333
Baia Mare,1957,román,9
Baja,1926,német,35
Baja,1931,német,1
Baku,1948,türk,8
Baku,1953,azerbajdzsán,2
Baku,1956,azerbajdzsán,71
Baku,1961,azerbajdzsán,1
Baku,1964,azerbajdzsán,22
Banská Bystrica,1891,szlovák,112
Banská Bystrica,1909,szlovák,4
Banská Bystrica,1910,szlovák,3
Banská Bystrica,1912,szlovák,2
Banská Bystrica,1913,szlovák,3
Banská Bystrica,1914,szlovák,5
Banská Bystrica,1916,szlovák,5
Barcelona,1921,spanyol,39
Barcelona,1923,spanyol,1
Barcelona,1924,spanyol,1
Barcelona,1930,eszperantó,2
Barcelona,1930,spanyol,2
Barcelona,1931,spanyol,1
Barcelona,1942,spanyol,2
Barcelona,1943,spanyol,2.5
Barcelona,1944,spanyol,6
Barcelona,1945,spanyol,62
Barcelona,1946,spanyol,2
Barcelona,1947,spanyol,3
Barcelona,1948,spanyol,7
Barcelona,1949,spanyol,3
Barcelona,1950,spanyol,23
Barcelona,1951,spanyol,2
Barcelona,1952,spanyol,5
Barcelona,1958,spanyol,2
Barcelona,1959,spanyol,12
Barcelona,1960,spanyol,6
Barcelona,1962,spanyol,5
