normalized_city,year,nyelv,n
,1952,örmény,2
,1954,cseh,1
,1957,örmény,119
,1963,újgörög,1
-,1966,grúz,1
: Új Delhi :,1974,hindi,13
?,1952,örmény,2
?,1954,cseh,1
?,1954,CSEH,1
?,1968,örmény,1
?,1972,örmény,1
?,1977,grúz,1
? 8:o 2 siden,(?) 8:o 2 siden,svéd,1
....................,1923,finn,1
....................?,1952,cseh,1
...........................?,1872,orosz,1
".................................? ""ДЕЛО"" № 8",1872,orosz,1
..................................?,1940,orosz,1
.......1910. Tip. Armenandi S. Lazzaro in-8°,.......1910. Tip. Armenandi S. Lazzaro in-8°,olasz,1
"<@>ob34.392</@>, <&>ob34.392</&>","<@>ob34.392</@>, <&>ob34.392</&>",örmény,1
"1880 Ludwig Aigner Verlag ""Petöfis Poetische Werke"" Bd. I","(1880) Ludwig Aigner Verlag ""Petöfis Poetische Werke"" Bd. I.",német,1
1954? 8°,(1954[?]) 8°,arab,1
1963 8° 15+2,(1963) 8° (15+2),bengáli,1
A többi adat hiányzik,A többi adat hiányzik.,cseh,1
Aalborg,1894,dán,1
Aalborg,1897,dán,1
Aarhus,1959,eszperantó,1
Aarschot,1926,flamand,1
Åbo,1879,svéd,61
Acqui,1861,olasz,1
Adatai ismeretlenek előttem,(Adatai ismeretlenek előttem),angol,1
Adolf Bonniers Romanbibliotek 89. 287 Siden,Adolf Bonniers Romanbibliotek 89. 287 Siden.,svéd,1
Amsterdam,1887,holland,1
Amsterdam,1922,holland,1
Amsterdam,1925,holland,2
Amsterdam,1934,holland,2
Amsterdam,1937,holland,3
Amsterdam,1937,német,1
Amsterdam,1938,holland,1
Amsterdam,1938,német,3
Amsterdam,1939,német,2
Amsterdam,194?,holland,1
Amsterdam,1944,holland,1
Amsterdam,1947,holland,1
Amsterdam,1951,holland,3
Amsterdam,1952,holland,3
Amsterdam,1953,holland,6
Amsterdam,1956,holland,1
Amsterdam,1958,holland,27
Amsterdam,1959,holland,2
Amsterdam,1960,holland,1
Amsterdam,1962,holland,1
Amsterdam,1964,holland,19
Amsterdam,1965,holland,1
Amsterdam,1969,holland,8
Amsterdam,1969,Holland,1
Amsterdam,1972,holland,1
Amsterdam,1976,holland,1
Amsterdam,1977,holland,74
Amsterdam,"NA",eszperantó,1
Amsterdam,"NA",holland,41
"Amsterdam, L. J. Veens Uitgeverij Maatschappij N. V. 8:0","Amsterdam, L. J. Veens Uitgeverij Maatschappij N. V. 8:0",holland,1
Amsterdam−Antwerpen,1942,holland,1
Amsterdam−Antwerpen,1943,holland,1
Amsterdam−Antwerpen,1946,holland,1
Amsterdam−Antwerpen,1952,holland,2
Amsterdam−Antwerpen,1972,holland,1
Amsterdam−Brussels,1947,holland,1
Amsterdam−Brussels,"NA",holland,3
Amsterdam−Leipzig,1927,német,1
Amsterdam−Leipzig,1938,német,1
Anakara,1946,török,1
Anfora en-8°,Anfora en-8°,spanyol,1
Angoulème,1939,francia,15
Ankara,194?,török,1
Ankara,1944,török,1
Ankara,1945,török,2
Ankara,1946,török,17
Ankara,1947,török,2
Ankara,1948,török,11
Ankara,1949,török,8
Ankara,195?,török,3
Ankara,1950,török,1
Ankara,1951,török,1
Ankara,1952,török,17
Ankara,1967,török,3
"Ankara, Millî Eğitim Basimevi","Ankara, Millî Eğitim Basimevi",török,2
