city,year_n,languages
Aalborg,1894,1
Aalborg,1897,1
Aarhus,1959,1
Aarhus,NA,1
Aarschot,1926,1
Acqui,1861,1
Akron,1902,1
Almaty,1954,2
Almaty,1955,1
Almaty,1956,1
Almaty,1957,1
Almaty,1966,1
Almaty,1969,1
Amsterdam,1887,1
Amsterdam,1922,1
Amsterdam,1925,1
Amsterdam,1927,1
Amsterdam,1934,1
Amsterdam,1937,2
Amsterdam,1938,2
Amsterdam,1939,1
Amsterdam,1942,1
Amsterdam,1943,1
Amsterdam,1944,1
Amsterdam,1946,1
Amsterdam,1947,1
Amsterdam,1951,1
Amsterdam,1952,1
Amsterdam,1953,1
Amsterdam,1956,1
Amsterdam,1958,1
Amsterdam,1959,1
Amsterdam,1960,1
Amsterdam,1962,1
Amsterdam,1964,1
Amsterdam,1965,1
Amsterdam,1969,1
Amsterdam,1972,1
Amsterdam,1976,1
Amsterdam,1977,1
Amsterdam,NA,2
Angoulème,1939,1
Ankara,1944,1
Ankara,1945,1
Ankara,1946,1
Ankara,1947,1
Ankara,1948,1
Ankara,1949,1
Ankara,1950,1
Ankara,1951,1
Ankara,1952,1
Ankara,1967,1
Ankara,1968,1
Ankara,NA,1
Ann Arbor,1977,1
Antwerpen,1933,1
Antwerpen,1935,1
Antwerpen,1942,1
Antwerpen,1943,1
Antwerpen,1944,1
Antwerpen,1946,1
Antwerpen,1947,1
Antwerpen,1949,1
Antwerpen,1950,1
Antwerpen,1952,1
Antwerpen,1956,2
Antwerpen,1957,1
Antwerpen,1958,1
Antwerpen,1959,1
Antwerpen,1960,1
Antwerpen,1962,1
Antwerpen,1964,2
Antwerpen,1967,1
Antwerpen,1972,1
Antwerpen,1976,1
Antwerpen,NA,2
Arad,1916,1
Arad,1925,1
Arad,1936,1
Arad,1939,1
Arad,1949,1
Arnhem,1874,1
Ashgabat,1955,1
Ashgabat,1959,1
Ashgabat,1961,1
Assisi,1874,1
Athén,1861,1
Athén,NA,1
Bacău,1949,1
Bad Kissingen,1948,1
Bad Wörishofen,1953,1
Baden-Baden,1929,1
Bahia,1958,1
Baia Mare,1957,1
Baja,1926,1
Baja,1931,1
Baku,1948,1
Baku,1953,1
Baku,1956,1
Baku,1961,1
Baku,1964,1
Banská Bystrica,1891,1
Banská Bystrica,1909,1
Banská Bystrica,1910,1
Banská Bystrica,1912,1
Banská Bystrica,1913,1
Banská Bystrica,1914,1
Banská Bystrica,1916,1
Barcelona,1921,1
Barcelona,1923,1
Barcelona,1924,1
Barcelona,1930,2
Barcelona,1931,1
Barcelona,1942,1
Barcelona,1943,1
Barcelona,1944,1
Barcelona,1945,1
Barcelona,1946,1
Barcelona,1947,1
Barcelona,1948,1
Barcelona,1949,1
Barcelona,1950,1
Barcelona,1951,1
Barcelona,1952,1
Barcelona,1958,1
Barcelona,1959,1
Barcelona,1960,1
Barcelona,1962,1
Barcelona,1963,1
Barcelona,1964,1
Barcelona,1965,1
Barcelona,1966,1
Barcelona,1968,1
Barcelona,1969,1
Barcelona,1970,1
Barcelona,1975,1
Barcelona,1976,1
Barcelona,NA,1
Bari,1947,1
Basel,1932,1
Basel,1933,1
Basel,1941,1
Basel,1946,1
Basel,1948,1
Basel,1961,1
Basel,1964,1
Basel,1975,1
Basel,NA,1
Békéscsaba,1890,1
Belo Horizonte,1963,1
Beograd,1880,1
Beograd,1881,1
Beograd,1890,1
Beograd,1893,1
Beograd,1894,1
Beograd,1895,1
Beograd,1898,1
Beograd,1927,1
Beograd,1930,1
Beograd,1940,1
Beograd,1948,1
Beograd,1951,2
Beograd,1952,1
Beograd,1953,1
Beograd,1956,1
Beograd,1957,1
Beograd,1960,1
Beograd,1962,1
Beograd,1963,2
Beograd,1964,2
Beograd,1965,2
Beograd,1966,2
Beograd,1967,1
Beograd,1969,2
Beograd,1970,1
Beograd,1972,1
Beograd,1973,1
Berlin,1838,1
Berlin,1850,1
Berlin,1851,1
Berlin,1859,1
Berlin,1860,1
Berlin,1864,1
Berlin,1868,1
Berlin,1869,1
Berlin,1872,1
Berlin,1873,1
Berlin,1874,1
Berlin,1875,1
Berlin,1876,1
Berlin,1877,1
Berlin,1878,1
Berlin,1879,1
Berlin,1880,1
Berlin,1881,1
Berlin,1882,1
Berlin,1883,1
Berlin,1884,1
Berlin,1885,1
Berlin,1886,1
Berlin,1887,1
Berlin,1888,1
Berlin,1889,1
Berlin,1890,1
Berlin,1891,1
Berlin,1892,1
Berlin,1893,1
Berlin,1894,1
Berlin,1895,1
Berlin,1896,1
Berlin,1897,1
Berlin,1898,1
Berlin,1899,1
Berlin,1900,1
Berlin,1901,1
Berlin,1902,1
Berlin,1903,1
Berlin,1905,1
Berlin,1908,1
Berlin,1909,1
Berlin,1910,1
Berlin,1911,1
Berlin,1912,2
Berlin,1913,1
Berlin,1914,1
Berlin,1916,1
Berlin,1917,1
Berlin,1918,1
Berlin,1919,1
Berlin,1920,1
Berlin,1921,2
Berlin,1922,1
Berlin,1923,1
Berlin,1924,1
Berlin,1926,1
Berlin,1927,1
Berlin,1928,1
Berlin,1929,2
Berlin,1930,1
Berlin,1931,1
Berlin,1936,1
Berlin,1937,1
Berlin,1938,1
Berlin,1940,1
Berlin,1941,1
Berlin,1942,1
Berlin,1943,1
Berlin,1944,1
Berlin,1946,1
Berlin,1947,1
Berlin,1948,1
Berlin,1949,1
Berlin,1950,1
Berlin,1951,1
Berlin,1952,1
Berlin,1953,1
Berlin,1954,1
Berlin,1955,1
Berlin,1956,1
Berlin,1957,1
Berlin,1958,1
Berlin,1959,1
Berlin,1960,1
Berlin,1961,1
Berlin,1962,1
Berlin,1963,1
Berlin,1964,1
Berlin,1965,1
Berlin,1966,1
Berlin,1967,1
Berlin,1968,1
Berlin,1969,1
Berlin,1970,1
Berlin,1971,1
Berlin,1972,1
Berlin,1973,1
Berlin,1974,1
Berlin,1975,1
Berlin,1976,1
Berlin,1977,1
Berlin,NA,1
Bern,1858,1
Bern,1864,1
Bern,1868,1
Bern,1944,1
Bern,1946,1
Bern,1947,1
Bern,1951,2
Bern,1968,1
Bern,NA,1
Bilthoven,1929,1
Bilthoven,1939,1
Bilthoven,1952,1
Bilthoven,1962,1
Bistriţa,1904,1
Bistriţa,1905,1
Bistriţa,1912,1
Boca Raton,1972,1
Bologna,1863,1
Bologna,1928,1
Bologna,1929,1
Bologna,1931,1
Bologna,1938,1
Bologna,1948,1
Bologna,1956,1
Bologna,1959,1
Bologna,NA,1
Boston,1895,1
Boston,1898,1
Boston,1901,1
Boston,1930,1
Boston,1932,1
Boston,1946,1
Boudry,1948,1
Braşov,1859,1
Braşov,1863,1
Braşov,1894,1
Braşov,1897,1
Braşov,1909,1
Braşov,1911,1
Braşov,1929,1
Braşov,1930,1
Braşov,1931,1
