id,isPartOf2
39841,15080
39842,15080
39844,15080
39851,15080
39852,15080
39853,15080
39856,15080
39859,15080
39861,15080
39862,15080
39873,15080
39874,15080
39878,15080
39880,15080
39881,15080
39882,15080
39883,15080
39886,15080
39890,15080
39891,15080
39895,15080
39897,15080
39905,15080
39910,15080
39917,15080
39919,15080
39930,15080
39935,15080
39940,15080
39942,15080
39943,15080
39944,15080
39947,15080
39948,15080
39950,15080
39952,15080
39953,15080
39960,15080
39961,15080
39964,15080
39965,15080
39969,15080
39972,15080
39975,15080
39978,15080
39979,15080
39983,15080
39984,15080
39985,15080
39989,15080
39993,15080
39996,15080
39999,15080
40005,15080
40007,15080
40012,15080
40014,15080
40015,15080
40019,15080
40025,15080
40027,15080
40028,15080
40030,15080
40035,15080
40039,15080
40040,15080
40043,15080
40044,15080
40045,15080
40048,15080
40049,15080
40052,15080
40055,15080
40057,15080
40060,15080
40063,15080
40065,15080
40066,15080
40067,15080
40069,15080
40071,15080
40077,15080
40078,15080
40082,15080
40083,15080
40084,15080
40085,15080
40088,15080
40090,15080
40091,15080
40094,15080
40095,15080
40099,15080
40103,15080
40104,15080
40105,15080
40108,15080
40115,15080
40120,15080
40122,15080
40124,15080
40128,15080
40137,15080
40138,15080
40139,15080
40143,15080
40144,15080
40145,15080
40146,15080
40147,15080
40148,15080
40151,15080
40153,15080
40156,15080
40160,15080
40163,15080
40165,15080
40166,15080
40170,15080
40174,15080
40176,15080
40179,15080
40180,15080
40181,15080
40182,15080
40187,15080
40192,15080
40193,15080
40194,15080
40195,15080
40196,15080
40199,15080
40200,15080
40209,15080
40211,15080
40212,15080
40217,15080
40219,15080
40231,15080
40236,15080
40238,15080
40248,15080
40252,15080
40255,15080
40256,15080
40259,15080
40260,15080
40262,15080
40265,15080
40266,15080
40267,15080
40269,15080
40271,15080
40275,15080
40277,15080
40281,15080
40282,15080
40288,15080
40290,15080
40295,15080
40299,15080
40301,15080
40306,15080
40309,15080
40310,15080
40317,15080
40321,15080
40325,15080
40326,15080
40329,15080
40330,15080
40331,15080
40332,15080
40333,15080
40335,15080
40337,15080
40338,15080
40341,15080
40343,15080
40344,15080
40351,15080
40354,15080
40358,15080
40361,15080
40362,15080
40364,15080
40375,15080
40377,15080
40379,15080
40380,15080
40384,15080
40385,15080
40387,15080
40388,15080
40391,15080
40393,15080
40395,15080
40399,15080
40400,15080
40401,15080
40404,15080
40405,15080
40406,15080
40407,15080
40408,15080
40409,15080
40413,15080
40420,15080
40422,15080
40424,15080
40425,15080
40426,15080
40427,15080
40430,15080
40431,15080
40434,15080
40436,15080
40438,15080
40439,15080
40440,15080
40444,15080
40447,15080
40448,15080
40449,15080
40452,15080
40455,15080
40456,15080
40466,15080
40467,15080
40472,15080
40479,15080
40481,15080
40482,15080
40485,15080
40486,15080
40494,15080
40498,15080
40499,15080
40500,15080
40501,15080
40503,15080
40504,15080
40505,15080
40507,15080
40510,15080
40511,15080
40521,15080
40523,15080
40529,15080
40531,15080
40533,15080
40535,15080
40537,15080
40538,15080
40541,15080
40543,15080
40547,15080
40555,15080
40559,15080
40561,15080
40562,15080
40563,15080
40564,15080
40566,15080
40567,15080
40570,15080
40571,15080
40572,15080
40573,15080
40574,15080
40576,15080
40577,15080
40578,15080
40579,15080
40584,15080
40588,15080
40591,15080
40592,15080
40593,15080
40594,15080
40595,15080
40597,15080
40601,15080
40602,15080
40604,15080
40606,15080
40607,15080
40610,15080
40612,15080
40614,15080
40615,15080
40616,15080
40618,15080
40619,15080
40620,15080
40621,15080
40629,15080
40634,15080
40643,15080
40645,15080
40646,15080
40658,15080
40662,15080
40665,15080
40666,15080
40667,15080
40668,15080
40670,15080
40671,15080
40672,15080
40673,15080
40674,15080
40675,15080
40685,15080
40686,15080
40687,15080
40689,15080
40690,15080
40691,15080
40692,15080
40695,15080
40697,15080
40698,15080
40701,15080
40706,15080
40709,15080
40714,15080
40716,15080
40717,15080
40720,15080
40723,15080
40724,15080
40725,15080
40731,15080
40732,15080
40734,15080
40735,15080
40737,15080
40738,15080
40739,15080
40742,15080
40743,15080
40744,15080
40745,15080
40747,15080
40748,15080
40749,15080
40750,15080
40753,15080
40756,15080
40763,15080
40766,15080
40767,15080
40770,15080
40771,15080
40775,15080
40777,15080
40780,15080
40781,15080
40784,15080
71827,71353
71881,71353
71882,71353
71895,71353
71971,71353
71972,71353
71973,71353
71992,71353
71993,71353
71996,71353
71997,71353
72002,71353
72003,71353
72009,71353
72011,71353
72013,71353
72023,71353
72024,71353
72025,71353
72026,71353
72027,71353
72032,71353
72033,71353
72034,71353
72036,71353
72051,71353
72052,71353
72053,71353
72054,71353
72083,71353
72084,71353
72085,71353
72102,71353
72103,71353
72104,71353
72114,71353
72117,71353
72118,71353
72120,71353
72137,71353
72139,71353
72140,71353
72141,71353
72142,71353
72145,71353
72146,71353
72147,71353
72148,71353
72150,71353
72151,71353
72152,71353
72184,71353
72189,71353
72190,71353
72191,71353
72192,71353
72193,71353
72200,71353
72222,71353
72226,71353
72230,71353
72236,71353
72284,71353
72356,71353
72359,71353
72368,71353
72372,71353
72373,71353
72416,71353
72417,71353
72418,71353
72430,71353
72431,71353
72432,71353
72433,71353
72434,71353
72435,71353
72436,71353
72448,71353
72450,71353
72452,71353
72453,71353
72454,71353
72465,71353
72466,71353
72468,71353
72485,71353
72487,71353
72488,71353
72502,71353
72503,71353
72504,71353
72506,71353
72507,71353
72515,71353
72516,71353
72517,71353
72536,71353
72537,71353
72538,71353
72584,71353
72585,71353
72586,71353
72587,71353
72589,71353
72590,71353
72594,71353
72599,71353
72600,71353
72610,71353
72611,71353
72612,71353
72617,71353
72618,71353
72619,71353
72621,71353
72622,71353
72628,71353
72629,71353
72630,71353
72631,71353
72632,71353
72633,71353
72637,71353
72640,71353
72641,71353
72706,71353
72707,71353
72708,71353
72733,71353
72776,71353
72777,71353
72779,71353
72780,71353
72782,71353
72783,71353
72786,71353
72787,71353
72789,71353
72790,71353
72793,71353
72794,71353
72796,71353
72800,71353
72801,71353
72802,71353
72804,71353
72807,71353
72808,71353
72810,71353
72811,71353
72823,71353
72826,71353
72828,71353
72896,71353
72897,71353
72898,71353
72899,71353
72901,71353
72903,71353
72926,71353
72927,71353
72929,71353
72932,71353
72933,71353
72960,71353
72961,71353
72962,71353
72963,71353
72964,71353
72966,71353
72969,71353
72970,71353
72999,71353
73000,71353
73001,71353
73004,71353
73005,71353
73006,71353
73007,71353
73008,71353
73009,71353
73010,71353
73011,71353
73019,71353
73020,71353
73022,71353
73025,71353
73033,71353
73034,71353
73035,71353
73036,71353
73037,71353
73065,71353
73066,71353
73074,71353
73076,71353
73077,71353
73082,71353
73087,71353
73088,71353
73091,71353
73092,71353
73093,71353
73094,71353
73096,71353
73097,71353
73098,71353
73099,71353
73101,71353
73102,71353
73104,71353
73105,71353
73106,71353
73111,71353
73113,71353
73115,71353
73122,71353
72243,72242
72244,72242
72245,72242
72246,72242
72247,72242
72249,72242
72250,72242
72251,72242
72253,72242
72254,72242
72255,72242
72256,72242
72257,72242
72258,72242
72259,72242
72260,72242
72261,72242
72262,72242
72263,72242
72264,72242
72265,72242
72266,72242
72267,72242
72268,72242
72269,72242
72270,72242
72271,72242
72272,72242
72273,72242
72274,72242
72275,72242
72276,72242
72277,72242
72278,72242
72279,72242
72280,72242
72282,72242
72283,72242
72285,72242
72286,72242
72287,72242
72288,72242
72289,72242
72290,72242
72291,72242
72292,72242
72293,72242
72294,72242
72295,72242
72297,72242
72298,72242
72299,72242
72300,72242
72301,72242
72302,72242
72303,72242
72304,72242
72305,72242
72306,72242
72307,72242
72308,72242
72309,72242
72310,72242
72311,72242
72313,72242
72314,72242
72315,72242
72316,72242
72317,72242
72318,72242
72319,72242
72320,72242
72321,72242
72322,72242
72323,72242
72324,72242
72325,72242
72326,72242
72327,72242
72328,72242
72329,72242
72331,72242
72332,72242
72334,72242
72335,72242
72336,72242
72337,72242
72338,72242
72339,72242
71878,71355
71879,71355
71880,71355
71889,71355
71890,71355
71892,71355
71893,71355
71894,71355
71896,71355
71897,71355
71899,71355
