nyelv,count
német,19975
orosz,8766
francia,6649
angol,6389
olasz,5206
román,4517
szlovák,3081
lengyel,2260
cseh,2138
horvát,1286
bolgár,1269
eszperantó,1077
finn,1074
spanyol,956
ukrán,882
szerb,656
holland,626
észt,555
svéd,543
kazah,422
japán,375
héber,364
kínai,358
örmény,358
lett,291
dán,223
makedón,201
norvég,168
kirgiz,166
török,162
vietnami,144
albán,135
fehérorosz,135
szlovén,134
grúz,117
arab,112
moldva,108
portugál,107
litván,105
koreai,97
azerbajdzsán,96
türkmén,90
volapük,81
tadzsik,65
mongol,57
baskir,56
perzsa,51
ido,50
üzbég,43
komi,36
újgörög,32
macedon,31
latin,30
flamand,27
vend,19
pandzsábi,18
udmurt,17
csuvas,15
hindi,14
német (szász − gründler),13
tatár,11
türk,10
ujgur,10
bengáli,9
asszami,8
görög,7
tagalog,6
burmai,5
manibuli,5
makedon,3
rhetoromán,3
tamil,3
izlandi,2
liv,2
rutén,2
altaji,1
"eszperantó, német, szerb, szlovák",1
jiddis,1
katalán,1
maláj,1
ógörög,1
örmény−erdélyi,1
romanid,1
szerb-horvát,1
