szerzo,magyar_cim,nyelv,count
ORAVECZ Imre,...a képzelet,francia,1
ORAVECZ Imre,...elfordítva,francia,1
FEHÉR Ferenc,...és szőke haja nőtt a fűnek,horvát,1
ORAVECZ Imre,...fövény,francia,1
ORAVECZ Imre,...friss törés,francia,1
ARANY János,"""A hazáról""",román,1
NAGY Sándor (K),"""A katonát, aki a felszabadulást hozta, nem lehet elfelejteni"" (?)",német,1
DOBOZY Imre,"""A királynő zsámolya""",orosz,2
NAGY István,"""A vizsgálat megindult""",román,1
GÁBOR Andor,"""Állam nélküli társadalom"" kocsma (?)",román,1
HIDAS Antal,"""Barátság"" és ""Munka""",orosz,1
HIDAS Antal,"""Barátság"" és ""Munka"" − Folyik a pör",orosz,1
ÖRKÉNY István,"""Bello bambino""",francia,1
SULYOK Vince,"""Cut and run""",angol,1
LÁNYI Sarolta,"""Életem szerelme""",kazah,1
WEÖRES Sándor,"""Elysium""-ból",olasz,1
MAGYAR NÉPKÖLTÉS − PRÓZA,"""Éppen úgy"" sógor története − Szentmártoni: Székely népmesék 12. sz. 93. l.",német,1
SZABÓ Lőrinc,"""Ércnél maradandóbb""",német,1
RADNÓTI Miklós,"""És szólt és beszélt vala Káin Ábellel:""",francia,1
RADNÓTI Miklós,"""És szólt és beszélt vala Káin Ábellel:""",német,1
FÜST Milán,"""Ha csontjaimat meg kelletik adni""",angol,1
FÜST Milán,"""Ha csontjaimat meg kelletik adni""",francia,1
FÜST Milán,"""Ha csontjaimat meg kelletik adni""",lengyel,1
FÜST Milán,"""Ha csontjaimat meg kelletik adni""",német,1
ÖRKÉNY István,"""Home, sweet home""",francia,1
ÖRKÉNY István,"""In our time""",német,2
ÖRKÉNY István,"""In our time""",lengyel,1
ÖRKÉNY István,"""In our time""",orosz,1
JÓZSEF Attila,"""Költőnk és kora"" − Utolsó versek 1936−37",szerb,1
JAKUS Imre,"""Ma ballagott volna""",finn,1
BALLA László,"""Mikor az éjszakában""",orosz,1
FÜST Milán,"""Nagy csöndesség volt és nehéz sötét eső után"" − Levél az ifjúságról",makedón,1
LÁNYI Sarolta,"""Nem könnyű""",kazah,1
SZABÓ Lőrinc,"""Nem!""",román,1
KISS József,"""Noémi""-ből",német,1
MÉCS László,"""Óh, kedves kicsi teremtmény""",angol,1
HIDAS Antal,"""Petőfi álmodott róla""",orosz,1
WEÖRES Sándor,"""Rongyszőnyeg"" ciklusból",svéd,2
WEÖRES Sándor,"""Rongyszőnyeg"" ciklusból",szlovák,1
TANDORI Dezső,"""S gyorsan anyám, mert nagyon sietek? Hová?""",angol,1
TANDORI Dezső,"""S gyorsan anyám, mert nagyon sietek""",angol,1
