author,countries
PETŐFI Sándor,13
---,11
JÓZSEF Attila,11
MÓRICZ Zsigmond,10
NÉMETH László,9
GÁRDONYI Géza,8
ILLÉS Béla,8
JÓKAI Mór,8
MIKSZÁTH Kálmán,8
DARVAS József,7
ILLYÉS Gyula,7
KARINTHY Ferenc,7
KARINTHY Frigyes,7
KOSZTOLÁNYI Dezső,7
MAGYAR NÉPKÖLTÉS − PRÓZA,7
MOLNÁR Ferenc,7
SZABÓ Magda,7
SÁNTA Ferenc,7
VERES Péter,7
ADY Endre,6
BERKESI András,6
DOBOZY Imre,6
DÉRY Tibor,6
FEHÉR Klára,6
FEKETE Gyula,6
FEKETE István,6
GERGELY Sándor,6
KASSÁK Lajos,6
KERTÉSZ Ákos,6
KRÚDY Gyula,6
MESTERHÁZI Lajos,6
MÓRA Ferenc,6
PALOTAI Boris,6
RADNÓTI Miklós,6
SARKADI Imre,6
SZAKONYI Károly,6
WEÖRES Sándor,6
ÖRKÉNY István,6
ACZÉL Tamás,5
ARANY János,5
BABITS Mihály,5
BERTHA Bulcsu,5
CSERES Tibor,5
CSUKÁS István,5
DÉKÁNY András,5
FEJES Endre,5
FÜST Milán,5
GALGÓCZI Erzsébet,5
GODA Gábor,5
HÁY Gyula,5
JANIKOVSZKY Éva,5
KAFFKA Margit,5
KESZI Imre,5
LENGYEL József,5
LÁZÁR Ervin,5
MADÁCH Imre,5
MOLDOVA György,5
MÁNDY Iván,5
NAGY Lajos,5
NAGY Sándor,5
PASSUTH László,5
SZABÓ Pál,5
SÓS György,5
SÜTŐ András,5
TAMÁSI Áron,5
TERSÁNSZKY JÓZSI Jenő,5
THURZÓ Gábor,5
VÖRÖSMARTY Mihály,5
ASZTALOS István,4
BALÁZS Béla,4
BALÁZS József,4
BERKESI András−KARDOS György,4
CSURKA István,4
FAZEKAS Anna,4
FÖLDES Péter,4
GARAI Gábor,4
GERGELY Márta,4
GÁBOR Andor,4
GÁLL István,4
Gál György Sándor,4
HEGEDŰS Géza,4
HERNÁDI Gyula,4
HÁRS László,4
JÓKAI Anna,4
KOLOZSVÁRI GRANDPIERRE Emil,4
MÉSZÖLY Miklós,4
NAGY Katalin,4
NEMERE István,4
OTTLIK Géza,4
REJTŐ Jenő,4
RÁTH VÉGH István,4
RÓNASZEGI Miklós,4
SOMOGYI TÓTH Sándor,4
SZAMOS Rudolf,4
SZEPES Mária,4
SZERB Antal,4
SZILVÁSI Lajos,4
SZÁVA István,4
TATAY Sándor,4
THURY Zsuzsa,4
VÉSZI Endre,4
ZALKA Miklós,4
ZALKA Máté,4
BARABÁS Tibor,3
BENEDEK István,3
BRÓDY Sándor,3
BÁRÁNY Tamás,3
BÓKA László,3
DÁNIEL Anna,3
ERDŐDY János,3
EÖTVÖS József,3
FAZEKAS Mihály,3
GELLÉRI Andor Endre,3
GÖNCZ Árpád,3
HALASI Mária,3
HELTAI Jenő,3
HUNYADY József,3
ILLÉS Endre,3
KARIKÁS Frigyes,3
KATONA József,3
LAKATOS Menyhért,3
MAGYAR NÉPKÖLTÉS − VERS,3
MAGYAR NÉPKÖLTÉS: PRÓZA,3
MUNKÁCSI Miklós,3
MURÁNYI KOVÁCS Endre,3
Márton Klára,3
NAGY István,3
NÉMETH Imre,3
RÓNAY György,3
SIMONFFY András,3
SZABÓ Lőrinc,3
SZILÁGYI István,3
SZÁNTÓ György,3
SZÉKELY János,3
SÁNDOR Kálmán,3
THIERY Árpád,3
TÖMÖRKÉNY István,3
VIDOR Miklós,3
ZSOLDOS Péter,3
ANDRÁS László,2
Asperján György,2
BALÁZS Anna,2
BENEDEK Elek,2
BENJÁMIN László,2
BIHARI Klára,2
Bajor Andor,2
Bogáti Péter,2
Boldizsár István,2
BÁLINT Ágnes,2
BÉKÉS Pál,2
BÓKAY János,2
CSERNAI Zoltán,2
CSIKY Gergely,2
CSÁTH Géza,2
EGRI Viktor,2
EGRY Irén,2
FÓTI Andor,2
FÖLDES Jolán,2
FÖLDES Mihály,2
FÜLÖP János,2
GALAMBOS Lajos,2
GERENCSÉR Miklós,2
GYÁRFÁS Miklós,2
Gellért Gábor,2
GÁDOR Béla,2
GÁSPÁR Margit,2
HAJNAL Anna,2
HERCZEG Ferenc,2
HEVESI Lajos,2
HIDAS Antal,2
HORGAS Béla,2
HUBAY Miklós,2
Holdas Sándor,2
ILKU Pál,2
JO Mihály,2
