author,regions
PETŐFI Sándor,30
---,27
JÓKAI Mór,17
MIKSZÁTH Kálmán,16
MÓRICZ Zsigmond,16
MOLNÁR Ferenc,15
MÓRA Ferenc,15
JÓZSEF Attila,14
MAGYAR NÉPKÖLTÉS − PRÓZA,14
NAGY Sándor,14
SZABÓ Magda,14
GÁRDONYI Géza,13
ILLÉS Béla,13
BERKESI András,12
KARINTHY Ferenc,12
KARINTHY Frigyes,12
NÉMETH László,12
SÁNTA Ferenc,12
ÖRKÉNY István,12
DÉRY Tibor,11
FEHÉR Klára,11
JANIKOVSZKY Éva,11
RADÓ Sándor,11
ILLYÉS Gyula,10
SOMOGYI TÓTH Sándor,10
TATAY Sándor,10
ZALKA Máté,10
ACZÉL Tamás,9
ADY Endre,9
FEJES Endre,9
KOSZTOLÁNYI Dezső,9
MESTERHÁZI Lajos,9
RADNÓTI Miklós,9
SARKADI Imre,9
VERES Péter,9
DARVAS József,8
DOBOZY Imre,8
FEKETE Gyula,8
KERTÉSZ Ákos,8
KRÚDY Gyula,8
MADÁCH Imre,8
BABITS Mihály,7
BERTHA Bulcsu,7
CSUKÁS István,7
FEKETE István,7
GERGELY Márta,7
GERGELY Sándor,7
KASSÁK Lajos,7
MOLNÁR Géza,7
NAGY Lajos,7
PALOTAI Boris,7
SZABÓ Pál,7
WEÖRES Sándor,7
DÉKÁNY András,6
FÜST Milán,6
GÁBOR Andor,6
JÓKAI Anna,6
LENGYEL József,6
LÁZÁR Ervin,6
MÁNDY Iván,6
PASSUTH László,6
SZAKONYI Károly,6
TAMÁSI Áron,6
TERSÁNSZKY JÓZSI Jenő,6
THURY Zsuzsa,6
VÖRÖSMARTY Mihály,6
ARANY János,5
BALÁZS Béla,5
BERKESI András−KARDOS György,5
CSERES Tibor,5
CSURKA István,5
GALGÓCZI Erzsébet,5
GODA Gábor,5
Gál György Sándor,5
HERNÁDI Gyula,5
HIDAS Antal,5
HÁRS László,5
HÁY Gyula,5
KAFFKA Margit,5
KESZI Imre,5
