region1,region2,ratio,common_authors
Albania,Albania,NA,NA
Albania,Bulgaria,1,6
Bulgaria,Albania,0.08450704225352113,6
Albania,China,0.6666666666666666,4
China,Albania,0.13333333333333333,4
Albania,Cuba,0.6666666666666666,4
Cuba,Albania,0.8,4
Albania,Czechoslovakia-cseh,0.8333333333333334,5
Czechoslovakia-cseh,Albania,0.03333333333333333,5
Albania,Czechoslovakia-szlovák,1,6
Czechoslovakia-szlovák,Albania,0.03636363636363636,6
Albania,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,Albania,0,0
Albania,GDR,1,6
GDR,Albania,0.03571428571428571,6
Albania,Hungary,1,6
Hungary,Albania,0.04081632653061224,6
Albania,Mongolia,0.3333333333333333,2
Mongolia,Albania,0.4,2
Albania,North Korea,0.16666666666666666,1
North Korea,Albania,1,1
Albania,Poland,0.8333333333333334,5
Poland,Albania,0.035211267605633804,5
Albania,Romania,0.8333333333333334,5
Romania,Albania,0.03571428571428571,5
Albania,USSR-altaji,0,0
USSR-altaji,Albania,0,0
Albania,USSR-azerbajdzsán,0.5,3
USSR-azerbajdzsán,Albania,0.25,3
Albania,USSR-baskir,0.16666666666666666,1
USSR-baskir,Albania,1,1
Albania,USSR-csuvas,0.16666666666666666,1
USSR-csuvas,Albania,0.5,1
Albania,USSR-fehérorosz,0.3333333333333333,2
USSR-fehérorosz,Albania,0.2222222222222222,2
Albania,USSR-finn,0,0
USSR-finn,Albania,0,0
Albania,USSR-grúz,0.3333333333333333,2
USSR-grúz,Albania,0.08333333333333333,2
Albania,USSR-kazah,0.3333333333333333,2
USSR-kazah,Albania,0.2,2
Albania,USSR-kirgiz,0.3333333333333333,2
USSR-kirgiz,Albania,0.3333333333333333,2
Albania,USSR-komi,0,0
USSR-komi,Albania,0,0
Albania,USSR-lett,0.8333333333333334,5
USSR-lett,Albania,0.17857142857142858,5
Albania,USSR-litván,0.5,3
USSR-litván,Albania,0.0967741935483871,3
Albania,USSR-liv,0,0
USSR-liv,Albania,0,0
Albania,USSR-moldva,0.16666666666666666,1
USSR-moldva,Albania,0.07692307692307693,1
Albania,USSR-orosz,1,6
USSR-orosz,Albania,0.03821656050955414,6
Albania,USSR-tadzsik,0.3333333333333333,2
USSR-tadzsik,Albania,0.2857142857142857,2
Albania,USSR-tatár,0,0
USSR-tatár,Albania,0,0
Albania,USSR-türkmén,0.3333333333333333,2
USSR-türkmén,Albania,0.3333333333333333,2
Albania,USSR-udmurt,0.16666666666666666,1
USSR-udmurt,Albania,0.5,1
Albania,USSR-ujgur,0.16666666666666666,1
USSR-ujgur,Albania,1,1
Albania,USSR-ukrán,1,6
USSR-ukrán,Albania,0.1276595744680851,6
Albania,"USSR-ukrán, orosz",0.16666666666666666,1
"USSR-ukrán, orosz",Albania,1,1
Albania,USSR-észt,0.6666666666666666,4
USSR-észt,Albania,0.12121212121212122,4
Albania,USSR-örmény,0.5,3
USSR-örmény,Albania,0.2,3
Albania,USSR-üzbég,0.16666666666666666,1
USSR-üzbég,Albania,0.14285714285714285,1
Albania,Vietnam,0.5,3
Vietnam,Albania,0.75,3
Bulgaria,Albania,0.08450704225352113,6
Albania,Bulgaria,1,6
Bulgaria,Bulgaria,NA,NA
Bulgaria,China,0.18309859154929578,13
China,Bulgaria,0.43333333333333335,13
Bulgaria,Cuba,0.07042253521126761,5
Cuba,Bulgaria,1,5
Bulgaria,Czechoslovakia-cseh,0.6197183098591549,44
Czechoslovakia-cseh,Bulgaria,0.29333333333333333,44
Bulgaria,Czechoslovakia-szlovák,0.6619718309859155,47
Czechoslovakia-szlovák,Bulgaria,0.28484848484848485,47
Bulgaria,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,Bulgaria,0,0
Bulgaria,GDR,0.6056338028169014,43
GDR,Bulgaria,0.25595238095238093,43
Bulgaria,Hungary,0.4084507042253521,29
Hungary,Bulgaria,0.19727891156462585,29
Bulgaria,Mongolia,0.028169014084507043,2
Mongolia,Bulgaria,0.4,2
Bulgaria,North Korea,0.014084507042253521,1
North Korea,Bulgaria,1,1
Bulgaria,Poland,0.5492957746478874,39
Poland,Bulgaria,0.2746478873239437,39
Bulgaria,Romania,0.43661971830985913,31
Romania,Bulgaria,0.22142857142857142,31
Bulgaria,USSR-altaji,0,0
USSR-altaji,Bulgaria,0,0
Bulgaria,USSR-azerbajdzsán,0.08450704225352113,6
USSR-azerbajdzsán,Bulgaria,0.5,6
Bulgaria,USSR-baskir,0.014084507042253521,1
USSR-baskir,Bulgaria,1,1
Bulgaria,USSR-csuvas,0.014084507042253521,1
USSR-csuvas,Bulgaria,0.5,1
Bulgaria,USSR-fehérorosz,0.08450704225352113,6
USSR-fehérorosz,Bulgaria,0.6666666666666666,6
Bulgaria,USSR-finn,0,0
USSR-finn,Bulgaria,0,0
Bulgaria,USSR-grúz,0.1267605633802817,9
USSR-grúz,Bulgaria,0.375,9
Bulgaria,USSR-kazah,0.07042253521126761,5
USSR-kazah,Bulgaria,0.5,5
Bulgaria,USSR-kirgiz,0.04225352112676056,3
USSR-kirgiz,Bulgaria,0.5,3
Bulgaria,USSR-komi,0.014084507042253521,1
USSR-komi,Bulgaria,1,1
Bulgaria,USSR-lett,0.29577464788732394,21
USSR-lett,Bulgaria,0.75,21
Bulgaria,USSR-litván,0.19718309859154928,14
USSR-litván,Bulgaria,0.45161290322580644,14
Bulgaria,USSR-liv,0.014084507042253521,1
USSR-liv,Bulgaria,1,1
Bulgaria,USSR-moldva,0.08450704225352113,6
USSR-moldva,Bulgaria,0.46153846153846156,6
Bulgaria,USSR-orosz,0.704225352112676,50
USSR-orosz,Bulgaria,0.3184713375796178,50
Bulgaria,USSR-tadzsik,0.04225352112676056,3
USSR-tadzsik,Bulgaria,0.42857142857142855,3
Bulgaria,USSR-tatár,0.014084507042253521,1
USSR-tatár,Bulgaria,1,1
Bulgaria,USSR-türkmén,0.07042253521126761,5
USSR-türkmén,Bulgaria,0.8333333333333334,5
Bulgaria,USSR-udmurt,0.014084507042253521,1
USSR-udmurt,Bulgaria,0.5,1
Bulgaria,USSR-ujgur,0.014084507042253521,1
USSR-ujgur,Bulgaria,1,1
Bulgaria,USSR-ukrán,0.36619718309859156,26
USSR-ukrán,Bulgaria,0.5531914893617021,26
Bulgaria,"USSR-ukrán, orosz",0.014084507042253521,1
"USSR-ukrán, orosz",Bulgaria,1,1
Bulgaria,USSR-észt,0.19718309859154928,14
USSR-észt,Bulgaria,0.42424242424242425,14
Bulgaria,USSR-örmény,0.1267605633802817,9
USSR-örmény,Bulgaria,0.6,9
Bulgaria,USSR-üzbég,0.07042253521126761,5
USSR-üzbég,Bulgaria,0.7142857142857143,5
Bulgaria,Vietnam,0.056338028169014086,4
Vietnam,Bulgaria,1,4
China,Albania,0.13333333333333333,4
Albania,China,0.6666666666666666,4
China,Bulgaria,0.43333333333333335,13
Bulgaria,China,0.18309859154929578,13
China,China,NA,NA
China,Cuba,0.1,3
Cuba,China,0.6,3
China,Czechoslovakia-cseh,0.5666666666666667,17
Czechoslovakia-cseh,China,0.11333333333333333,17
China,Czechoslovakia-szlovák,0.4666666666666667,14
Czechoslovakia-szlovák,China,0.08484848484848485,14
China,Czechoslovakia-ukrán,0,0
Czechoslovakia-ukrán,China,0,0
China,GDR,0.5333333333333333,16
GDR,China,0.09523809523809523,16
China,Hungary,0.43333333333333335,13
Hungary,China,0.08843537414965986,13
China,Mongolia,0.1,3
Mongolia,China,0.6,3
