title,ids
"MODERN MAGYAR LYRICS",72;10561;14833
"THE MAGYAR MUSE",74;2415;14834;33905
"АНТОЛОГИЯ ВЕНГЕРСКОЙ ПОЭЗИИ − ВЕНГЕРСКАЯ НАРОДНАЯ ПОЭЗИЯ",13078;8233
"QUINZE POÈTES FRANÇAIS PRÉSENTENT LE VIEUX TZIGANE",44265;47115
"GEDICHTE VON ALEXANDER PETŐFI − Nebst eunem Anhang Lieder anderer ungarischer Dichter",14954;33920
"MAGYARISCHE GEDICHTE PATRIOTISCH-LYRISCHEN INHALTES",14982;14991
"POÉSIE HONGROISE",71353;71387
"PETEFIEVE PJESME",14901;14902
"POÉSIES CLASSIQUES HONGROISES",14876;2424;33910
"SH. P. POEZI TE ZGJEDHURA",46811;50844
"A. J.: POÈMES CHOISIS",41699;42894
"ORIGINELLE FABELN UND APHORISMEN DES A. FÁY",4833;41087
"AMORE E DOLORE DI TERRA MAGIARA",32366;146
"POETRY OF THE MAGYARS",4141;33897;36085
"HONGAARSCHE SAGEN SPROOKJES EN LEGENDEN",32373;12194
"РАБОТЫ И ХЛЕБА",47703;6345;6346
"ALESSANDRO PETŐFI",15089;5384;5385
"Ш. П. СВОБОДА И ЛЮБОВ СТИХОТВОРЕНИЯ",39833;43611
"NEAMUL VARJU",59287;68667
"",14898;14897
"MES POÈTES HONGROIS",51406;51391
"SCRITTO VERSO LA MORTE",54799;50939
"ZÜBIMABLEDEMS DE SEP ETELKE",15234;20341
"LES GRANDS POÈTES HONGROIS",5250;2423;14874
"VEČERNÁ BLÝSKAVICA − ANTOLOGIA Z MAD'ARSKEJ POÉZIE XX STOROČIA",36095;38917
"MAGYAR POETRY",2412;14829;33904;10560
"UNGARISCHE DICHTUNGEN",32749;135;2453;15044
"POÈMES HONGROIS",98;2425;14884
"MAGYAR POETRY − SELECTIONS FROM HUNGARIAN POETS",2411;14827;33903;10559
"POÈTES HONGROIS",2422;14873
"HUNGARA ANTOLOGIO",90;13052
"YGGDRASILL",100;101;14888
"LES GRANDS POÈTES HONGROIS DU XIX SIÈCLE",2428;14886;33912;3823
"ANTHOLOGIE DE LA POÉSIE HONGROISE",99;2426;8211;14885
"SPOVED' DUNAJA",67681;71358
"WOLNOŚĆ − Antologia",125;34603
"POÉTESSES HONGROISES",55179;10346
"UNGARISCHE LYRIKER",2442;13063;15000;32406;33928
"NEUE UNGARISCHE LYRIK",8225;10306
"ALBUM HUNDERT UNGARISCHER",2437;14968;33923;9263
"PALPITI DEL CUORE MAGIARO NELLA SUA LETTERATURA",15088;147;33944;10846
"UNGARISCHER DICHTERWALD",2448;15028
"POÉSIES MAGYARES",2420;14869;33907
"HUNGARIAN POETRY",36086;38916
"MAGYAR POEMS",14830;2413
"MAGYAR SONGS",2410;14825;33902;10558
"GEMS FROM PETŐFI AND OTHER HUNGARIAN POETS",2409;14822;33901;10557
"MAGYAR POETRY",2411;14827;33903;10559
"HUNGARIAN POEMS AND FABLES",2407;33900
"THE LEGEND OF THE WONDROUS HUNT",2408;14821
"AURORA",163;11800;15159
"NOVELLIERI UNGHERESI",144;11791;3681
"LE JOURNAL DES POÈTES",71386;71352
"POÈMES CHOISIS",41699;42894
"LA CARAVELLA",8228;152;11794
"UNGHERIA ANTIROMANTICA",65763;71356
