id,author,translator,target_title,target_lang,country,year,place,publisher,pagination,orig_lang,editionstat,orig_title,interm_title,isbn,interm_lang,auth_quality,transl_quality
1,"Ady Endre",,"Vengerskaja celina",Georgian,"USSR (to 1991)",1979,Tbilisi,Nakaduli,"28 p.",Hungarian,,,,,,,
2,"Chatelain Yves; Fodor Ladislaus; Marton George","Leegaard Alf","Horizontal, vertikal: Komödie in 3 Akten",German,Germany,1979,Hamburg,"Vertriebsstelle und Verlag Deutscher Bühnenschriftsteller und Bühnenkomponisten","158 p.",Hungarian,"Unverkäufl. Ms.",,"L'amour instantané",,French,,
3,"Balázs András","Farkas Elek","Control of cell proliferation by endogenous inhibitors",English,"United Kingdom",1978,"Oxford; Oxford","Elsevier; North-Holland","272 p.",Hungarian,,,,,,,
4,"Berkesi András",,"Persten's Pečatkoj",Georgian,"USSR (to 1991)",1979,Tbilisi,"Sabčota Sakartvelo","750 p.",Hungarian,,,,,,,
5,"Berkesi András","Ivanov K.; Oskolkov F.","Svežij veter",Russian,"USSR (to 1991)",1979,Moskva,Voenizdat,"479 p.",Hungarian,,Siratófal,,,,,
6,"Berkes Peter","Bollweg Erika","Schlupfwinkel Grosse Höhle",German,Germany,1979,München,"F. Schneider","157 p. ill.",Hungarian,,"Utánam, srácok!",,,,,
7,"Csak Gyula","Vol'skij Sergej","Vmeste v odinočestve",Russian,"USSR (to 1991)",1979,Moskva,VAAP,"73 p.",Hungarian,,,,,,,
8,"Halasi Maria","Orta Manzano Mariano","La del último banco",Spanish,Spain,1978,Barcelona,Juventud,"173 p. ill.",Hungarian,"2a ed.","Az utólso padban",,,,,
9,"Erkény István","Kiraj M.; Lejbutin Gennadij; Lidin A.",Koški-myški,Russian,"USSR (to 1991)",1979,Moskva,VAAP,"68 p.",Hungarian,,,,,,,
10,"Sik Endre","Peduzzi Luisa; Peduzzi Maria Carla","Storia dell'Africa nera",Italian,Italy,1977,Milano,"La pietra","2 v.",Hungarian,,"Fekete-Afrika története",,,,,
11,"Heimler Eugene","Ungar Andre","Concentration camp",English,"United Kingdom",1979,London,Corgi,"158 p.",Hungarian,,,,,,,
12,"Haszpra Ottó",,"Modelling hydroelastic vibrations",English,"United Kingdom",1979,London,Pitman,"136 p.",Hungarian,,,,,,,
