"Statistics on Index Translationum database for ""Original language = hun AND Year (from) >= 1978 AND Year (to) <= 2009""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Language,,Albanian,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bulgarian,Catalan,"Catalan, Valencian",Chinese,Croatian,Czech,Danish,Dutch,English,Esperanto,Estonian,"Farsi, Western; Persian",Finnish,French,Gallegan,Georgian,German,"Greek, Ancient (to 1453)","Greek, Modern (1453-)",Hebrew,Hungarian,Italian,Japanese,Kazakh,Kirghiz,Korean,Latin,Latvian,Lithuanian,Macedonian,Malayalam,Moldavian,"Mongolian, Halh","Mongolian, Peripheral",Multiple languages,Norwegian,"Norwegian, Bokmål",Polish,Portuguese,"Romani, Carpathian",Romanian,Russian,Schwyzerdütsch,Serbian,Serbo-Croatian (to 1992),Sinhala,Slovak,Slovenian,Spanish,Swedish,Tajik,Turkish,Turkmen,Uighur,Ukrainian,Urdu,Uzbek
"""TOP"" Author",Year of publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kertész Imre,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
,1988,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
,1997,,,,,,,,,,,,,,,,1,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,1998,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,1999,,,,,,,,,,,,,,,1,,,,,,1,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,2000,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,
,2001,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
,2002,,,,,,,,,,,,,,1,1,,,,,,1,,,6,,1,1,,,,,,,,,,,,,,,,2,,1,,,,,,2,,,1,,1,3,,,,,,,
,2003,,,,,1,,,1,2,,3,3,2,4,8,,,,,2,3,,,2,,2,,,1,1,,,,,,,1,,,,,,,,4,6,,,,,,,,2,2,2,5,,,,,,,
,2004,1,,,,,,,,1,,2,3,,2,2,2,,1,,2,2,,,2,,1,,,,,,,,,,,,1,,,,,,,4,1,,2,1,,,,,,,,1,,,,,,,
,2005,,,,,,,,,1,,2,1,1,2,6,2,,,,1,3,,,2,,,1,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,1,,3,,,,,,,,
,2006,,,,,,,,,,,2,1,2,,,2,,,,2,3,,,3,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,
,2007,,,,,,,,,,,,,,1,,,,,,1,2,,,1,,1,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,4,3,,,,,,,
,2008,,,,,,,,1,,,,1,,,,3,,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,,
,2009,,,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Márai Sándor,1992,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,1995,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
,2000,,,,,,,,,1,,,,,1,1,,,,,,,,,12,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,4,1,,,,,,,
