title,genre,publ_place,publ_year
Hétköznapok,regény,Pest,1846
Vadon virágai,novella,Pest,1848
Forradalmi és csataképek 1848. és 1849-ből,novella,Pest,1850
Egy bujdosó naplója. Novellák a forradalom utáni időkből,novella,Pest,1851
Hangok a vihar után,novella,Pest,1852
Erdély aranykora,regény,Pest,1852
A kétszarvú ember,novella,Pest,1852
Török világ Magyarországon,regény,Pest,1853
Egy magyar nábob,regény,Pest,1853–54
Janicsárok végnapjai,regény,Pest,1854
Erdélyi képek,novella,Pest,1854
Kárpáthy Zoltán,regény,Pest,1854
A magyar nemzet története,,Pest,1854
Véres könyv. Csataképek a jelenkori háborúból,,Pest,1855
A magyar előidőkből,novella,Pest,1855
Tarka élet,,Pest,1855–56
Oczeánia Egy elsülyedt világrész története,,Pest,1856
Délvirágok,,Pest,1856
Árnyképek,novella,Pest,1856
Szomorú napok,regény,Pest,1856
A magyar nép adomái,,Pest,1856
A legvitézebb huszár,regény,Pest,1856
A régi jó táblabírák,regény,Pest,1856
Sonkolyi Gergely. Isten nyugosztalja meg szegényt!,novella,Pest,1857
A Varchoniták,,Pest,1857
Fortunatus Imre,,Pest,1857
A kalóz-király. Történeti novella,novella,Pest,1857
Novellák,novella,Pest,1857
Népvilág,elbeszélés,Pest,1857
A kétszarvú ember. Históriai beszély,,Pest,1858
Regék,,Pest,1858
Az elátkozott család,regény,Pest,1858
A bűntárs,,Pest,1858
Jókai Mór Decameronja,novella,Pest,1858–60
Szegény gazdagok,regény,Pest,1860
A magyar néphumorról,beszéd,Pest,1860
Carinus,novella,Pest,1860
Színművek,dráma,Pest,1860
A serfőző,,Pest,1860
Jókay Mór beszéde. Tartatott május 24-kén 1861,beszéd,Pest,1861
Jókai és báró Podmaniczky Frigyes beszédei,beszéd,Pest,1861
A fehér rózsa,regény,Pest,1862
Téli zöld. Jókai Mór műveiből válogatott elbeszélések az ifjúság számára,novella,Pest,1862
Magyarhon szépségei,,Pest,1862
Az új földesúr,regény,Budapest,1862
Szélcsend alatt,elbeszélés,Pest,1862
Felfordult világ,Humorisztikus dolgozatok,Pest,1863
Politikai divatok,regény,Pest,1862–64
Milyenek a nők?,elbeszélés,Pest,1865
Milyenek a férfiak?,elbeszélés,Pest,1865
Mire megvénülünk,regény,Pest,1865
