id	author	orig_title	genre	orig_yr	orig_city	targ_lan_n	country	world	targ_title	translator	megjelenes	megjegyzes	city_n	year_n	editionstat	isPartOf	HU-minor	interm_title	interm_lang	is_container	series	db	auth_quality	transl_quality	publisher	pagination	orig_lang	isbn	kotet	city	year	targ_lan
100001	---	Források:	vers			német	Germany	NA	STIMMEN FÜR EUROPA. Ein Chor ungarischer freier Rhythmen	NA	Berlin, 1927. Aeterna Verlag 8° 49 S.	Inhalt: Füst, Kaffka, Babits, Kosztolányi, Kassák\nszerk ABA Ádám	Berlin	1927	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Berlin	1927	német
100004	ABONYI Árpád	NA				eszperantó	France	NA	MALLUMAJOJ. Rakonto	Trad. P. Lengyel	Paris, 1906. Presa Esperantista Societo 8	NA	Paris	1906	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1906	eszperantó
100039	ÁCS Kató	Kőbányai gyerekek		1950	Budapest	lengyel	Poland	2	DZIECI Z KOBÁNYI	Tłumaczyła z języke węgierskiego Camilla Mondral	(Warszawa) 1951. Czytelnik 8° 169 + 1 Str.	NA	Warszawa	1951	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Warszawa	1951	lengyel
100044	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	bolgár	Bulgaria	2	В СЯНКАТА НА СВОБОДАТА	Преведе Лазар Цветков	София, 1951. Народна Култура 8° 384 + 1 Стр.	NA	Sofija	1951	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	София	1951	bolgár
100045	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	cseh	Czechoslovakia (to 1992)	2	V STÍNU SVOBODY	Přeložil Arno Kraus	Praha, 1952. Melantrich 8° 388 str.	NA	Praha	1952	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Praha	1952	cseh
100046	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	kínai	PR China	2	?	Fordította: ?	Sangháj, 1955. 8° 406 p.	NA	Shanghai	1955	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Sangháj	1955	kínai
100047	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	olasz	Italy	1	I SOPRAVVISSUTI	Traduzione di Maurizio Korach	Roma, 1955. Edizioni di Cultura Sociale in-8° 471 (2) pp.	NA	Roma	1955	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Roma	1955	olasz
100048	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	orosz	USSR (to 1991)	2	ПОД СЕНЬЮ СВОБОДЫ − Роман	Сокращенный перевод О. Громова−Г. Лейбутина	Москва, 1950. Изд. Иностранной Литературы 8° 302 + 1 Стр.	NA	Moscow	1950	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Москва	1950	orosz
100049	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	orosz	USSR (to 1991)	2	ПОД СЕНЬЮ СВОБОДЫ. Роман. Второе издание	Сокращенный перевод с венгерского О. Громова-Г. Лейбутина	Москва, 1952. Изд. Иностранной Литературы 8° 269 + 1 Стр.	NA	Moscow	1952	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Москва	1952	orosz
100050	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	román	Romania	2	SUB STEAGUL LIBERTÄŢII	În româneşte de A. Florea şi P. Martinescu	Bucureşti, 1950. Editura de Stat Pentru Literatură şi Arta 8° 349. pag.	NA	Bucureşti	1950	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Bucureşti	1950	román
100051	ACZÉL Tamás	A szabadság árnyékában		1948	Budapest	szlovák	Czechoslovakia (to 1992)	2	V TIENI SLOBODY	Preložil Josef Kováč	Bratislava, 1951. Dukla 8° 478 Str.	Az első élmunkás	Bratislava	1951	NA	-1	pre-Trianon areas plus ethnic minority areas in Croatia	NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Bratislava	1951	szlovák
100052	ACZÉL Tamás	Az első élmunkás	dráma	1949	Budapest	szlovák	Czechoslovakia (to 1992)	2	PRVÝ ÚDERNIK − Hra vl dejstve	Preložil Ján J. Stracka	Turčiansky Sv. Martin, 1950. Matica Slovenská 8° 42 Str.	NA	Martin	1950	NA	-1	pre-Trianon areas plus ethnic minority areas in Croatia	NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Turčiansky Sv. Martin	1950	szlovák
100066	ACZÉL Tamás	Vihar és napsütés		1949	Budapest	bolgár	Bulgaria	2	БУРА И СЛЬНЦЕ	Прев. Лазар Цветков	София, 1954. Народна Култура 8°	NA	Sofija	1954	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	София	1954	bolgár
100067	ACZÉL Tamás	Vihar és napsütés		1949	Budapest	cseh	Czechoslovakia (to 1992)	2	V BOURE I NA VYSLUNI	Přeložil Arno Kraus	Praha, 1952. Melantrich 8° 595 str.	NA	Praha	1952	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Praha	1952	cseh
100068	ACZÉL Tamás	Vihar és napsütés		1949	Budapest	orosz	USSR (to 1991)	2	БУРЯ И СОЛНЦЕ	Перевод с венгерского Ю. Шишмонина, А. Гершковича и И. Горькиной Редактор В. Бойков	Москва, 1954. Издательство Иностранной Литературы 8° 486 + 1 стр.	NA	Moscow	1954	NA	-1		NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Москва	1954	orosz
100069	ACZÉL Tamás	Vihar és napsütés		1949	Budapest	szlovák	Czechoslovakia (to 1992)	2	BURKA A SLNKO	Prelozil Ivan J. Kovacevic	Bratislava, 1953. Slovensky Spisovatel' 8° 523 + 1 str.	NA	Bratislava	1953	NA	-1	pre-Trianon areas plus ethnic minority areas in Croatia	NA	NA	FALSE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Bratislava	1953	szlovák
100072	---	Források:				angol	Hungary	NA	MODERN MAGYAR LYRICS. Selected gems from Alex. Petőfi and other modern Hungarian poets.	Translated by William N. Loew	Budapest, 1926. Wodianer F. 8-vo	NA	Budapest	1926	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1926	angol
100073	---	Források:				angol	USA	NA	FOOT PRINTS	NA	s. l., 1926. XII. 1926. (USA)	https://lccn.loc.gov/unk84023012	Cleveland	1926	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Cleveland	1926	angol
100074	---	Források:				angol	Canada	NA	THE MAGYAR MUSE − An Anthology of Hungarian Poetry 1400−1932.	Edited and translated by Watson Kirkconnell	Winnipeg, 1933. Kanadai Magyar Újság 8-vo	NA	Winnipeg	1933	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Winnipeg	1933	angol
100075	ADY Endre	Források:				angol	Hungary	NA	THE POETRY OF ADY	By Watson Kirkconnell	Budapest, 1937. Hungarian Quarterly	NA	Budapest	1937	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1937	angol
100077	ADY Endre	Források:				angol	Hungary	NA	POEMS	Translated from the Hungarian and with an Introduction by René Bonnerjea	Budapest, 1941. Dr. Vajna és Bokor 8-vo	(With a poem to Andrew Ady by René Bonnerjea)	Budapest	1941	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1941	angol
100078	ADY Endre	Források:				angol	USA	1	A SELECTION OF POEMS (THREESCORE POEMS OF ADY)	Translated by Antal Nyerges	Washington, 1946. American−Hungarian Federation 8-vo XIV + 3 + 54 p.	NA	Washington	1946	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Washington	1946	angol
100080	ADY Endre	Források:				angol	USA	1	7 POEMS BY ADY	NA	Milford, Conn., 1947 (?) E. L. Radwany	NA	Milford, Conn	1947	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Milford, Conn	1947	angol
100082	---	Források:				bolgár	Bulgaria	2	АНТОЛОГИЯ НА УНГАРСКАТА ПОЭЗИЯ	Перев. Н. Фурнаджиев, Ив. Х. Христов, И. Стратиев, Пламен Цонев.	София, 1952. Бьългарски Писател 8°	NA	Sofija	1952	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	София	1952	bolgár
100084	ADY Endre	Források:				cseh	Czechoslovakia (to 1992)	NA	BÁŠNE	(Překladě B. Müllera)	Bratislava, 1932. Mladá Edice 8° 27 + 3 str.	NA	Bratislava	1932	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Bratislava	1932	cseh
100085	ADY Endre	Források:				cseh	Czechoslovakia (to 1992)	2	KREV A ZLATO	Přeložil František Halas	Praha, 1950. Československý Spisovatel' 8° 119. str.	NA	Praha	1950	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Praha	1950	cseh
100087	ADY Endre	Források:				cseh	Czechoslovakia (to 1992)	2	RÉVAI: PETŐFI A ADY	Přeložila Anna Rossová, verše přeložil Kamil Bednař	Praha, 1952. Československý Spisovatel' 8° 63 + 1 str.	NA	Praha	1952	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Praha	1952	cseh
100089	ADY Endre	Források:				eszperantó	Hungary	NA	ETERNA BUKEDO	Tradukis de Kálmán Kalocsay	Budapest, 1931. Literatura Mondo	NA	Budapest	1931	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1931	eszperantó
100090	---	Források:				eszperantó	Hungary	NA	HUNGARA ANTOLOGIO	Tradukis de K(álmán) Kalocsay	Budapest, 1933. Literatura Mondo 8° 452 (18) p.	NA	Budapest	1933	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1933	eszperantó
100091	ADY Endre	Források:				finn	Finland	1	VAPAUDEN TULET	Suomentaneet Arvo Turtiaisen, Otto Manninen, Elvi Sinervo, Aira Sinervo	Helsinki, 1952. Kansankulttuuri 8:o 108 + 2 sivu	NA	Helsinki	1952	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Helsinki	1952	finn
100092	ADY Endre	Források:	vers			francia	France	NA	POÉSIES	Adaptées par E. Zuckermandel et E. Carasso	Paris, 1926. E. R. A. (Edition Revue "Aujourd'hui) in-8° 48. p.	NA	Paris	1926	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1926	francia
100093	ADY Endre	Források:	vers			francia	France	NA	CHOIX DE POÉSIES	Traduit de l'original hongrois par Alexandre Térey	Paris, 1926. Jouve & Cie in-16° IV + 52 + 2 p.	NA	Paris	1926	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1926	francia
100094	---	Források:	vers			francia	France	NA	ANTHOLOGIE DE LA POÉSIE HONGROISE CONTEMPORAINE	Versione française sous la direction de Béla Pogány, révision de Géo Charles	Paris, (1927) Les Écrivains Réunis in-8° 218 p.	NA	Paris	1927	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1927	francia
100098	---	Források:	vers			francia	Hungary	NA	POÈMES HONGROIS	Traduits par Georges-Philippe Dhas	Budapest, 1935. Édition Springer in-8° 80. p.	NA	Budapest	1935	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1935	francia
100099	---	Források:	vers			francia	France	NA	ANTHOLOGIE DE LA POÉSIE HONGROISE	Par Jean Hankiss et L. Molnos-Müller	Paris, (1936) Éditione du Sagittaire in-8° 240. p.	NA	Paris	1936	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1936	francia
100102	---	Források:	vers			francia	France	NA	TROIS POÈTES HONGROIS (Petőfi−Arany−Ady)	Transposition en vers français par Georges-Philippe Dhas	Angouleme, 1939. Imprimerie Coquenard in-8° 37. p.	NA	Angoulème	1939	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Angouleme	1939	francia
100103	ADY Endre	Források:				francia	Hungary	NA	André Ady LE GRAND POÈTE MAGYAR	Traduit par Louis Joseph Foti	Budapest, (1930) Librairie Française in-8° 63 p.	NA	Budapest	1930	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1930	francia
100104	ADY Endre	Források:	vers			francia	France	NA	POÈMES	Traduits du Hongrois par André Steiner	Paris, (1941) Librairie José Corti in-8° 105 p.	NA	Paris	1941	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1941	francia
100105	ADY Endre	Források:	vers			francia	France	1	POÈMES	Adaptées par Armand Robin	Paris, 1946. in-8° 64 p.	NA	Paris	1946	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1946	francia
100107	---	Források:	vers			francia	Switzerland	1	TERRE HONGROISE 11 poètes hongrois de 1848 a 1948. (Les Cahiers de la Saison)	Traduction et commentaire de Montarier-H. Kallus	(Boudry, 1948.) Éditions de la Baconniere in-8° 32 p.	NA	Boudry	1948	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Boudry	1948	francia
100111	---	Források:	vers			francia	Hungary	2	TROIS GRANDS POÈTES HONGROIS	Traduit de hongrois par André Steiner	Budapest, 1952. Inst. des Rel. Cult. in-?	NA	Budapest	1952	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1952	francia
100112	ADY Endre	Források:	vers			francia	France	NA	ANDRÉ ADY − POÈTE HONGROIS	(Traduit par) Paul Lebar	Paris, s. d. E. R. A. in-8° 36 p.	datum: SD\nantikvarius becslese 1935: https://www.abebooks.com/ANDRE-ADY-Po%C3%A8te-hongrois-LEBAR-Paul/20064580864/bd \ndatum ez alapjan modositva ND-rol	Paris	1935	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	NA	francia
100114	ADY Endre	Források:				holland	Netherlands	NA	BLOED EN GOUD	Vertaald uit het Hongaarsch door Rudolf Pollák	Amsterdam, o. J. Uitgegeven door H. J. W. Becht 8° 56 S.	NA	Amsterdam	1935	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Amsterdam	1935	holland
100115	---	Források:				ido	Hungary	NA	HUNGARIA ANTOLOGIO DIL MADYARO LITERATURO	Trad. da Stefano Bakonyi	Budapest, 1923. Wodianer Januaro Tomo I. Kayero 1. 15. old.	NA	Budapest	1923	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1923	ido
100116	---	Források:				japán	Japan	NA	<@>815.324</@>, <&>815.324</&> − Magyar Antológia	Fordította Imaoka Dsuicsiro	Tokio, 1941. 8°	NA	Tokyo	1941	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Tokio	1941	japán
100120	ADY Endre	Források:				lengyel	Hungary	NA	WYBÓR POEZJI	Przekład Kazimierzy Iłłakowiczowny	Budapeszt, 1943. Wydawnictwo Biblioteki Polskiek w Budapeszcie 8°	NA	Budapest	1943	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapeszt	1943	lengyel
100122	ADY Endre	Források:				lengyel	Hungary	NA	POPIOŁEM I PŁOMIENIEM	W tłumaczeniem Tadeusza Fangrata	Budapeszt, 1943. Instytut Polski 8° 48	NA	Budapest	1943	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapeszt	1943	lengyel
100123	---	Források:				lengyel	Hungary	NA	KALENDARZ POLAKA NA WĘGRZECH na rok 1944.	NA	Budapeszt, 1944. Nakładem Biblioteki Polskiej str. 248.	NA	Budapest	1944	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapeszt	1944	lengyel
100125	---	Források:				lengyel	Poland	2	WOLNOŚĆ − Antologia	NA	Warszawa, 1953. Czytelnik str. 29, 79, 83.	NA	Warszawa	1953	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Warszawa	1953	lengyel
100128	---	Források:				német	Germany	NA	NEUE UNGARISCHE LYRIK	Nachdichtungen von Heinrich Horvát	München, 1918. Georg Müller Verlag 8° VIII + 251 S.	NA	München	1918	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	München	1918	német
100129	ADY Endre	Források:				német	Germany, Austria, Switzerland	NA	AUF NEUEN GEWAESSERN. Eine Auswahl	Die Übersetzung besorgten Zoltán Franyo und Heinrich Gerhold	Leipzig−Wien−Zürich, 1921. Tal & Co 8° 169 + 7 + 1 S.	NA	Leipzig−Wien−Zürich	1921	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Leipzig−Wien−Zürich	1921	német
100130	---	Források:				német	Germany	NA	AUSGEWAEHLTE UNGARISCHE DICHTUNGEN UND VOLKSLIEDER	In deutscher Übertragung von Christian Kraft	Berlin, 1922. Als Manuskript Gedruckt 8°	NA	Berlin	1922	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Berlin	1922	német
100131	ADY Endre	Források:				német	France	NA	DEUTSCHE, FRANZÖSISCHE UND ENGLISCHE ADY-ÜBERSETZUNGEN − TRADUCTIONS FRANÇAISES, ALLEMANDES ET ANGLIISES DE POÈMES D'ANDRÉ ADY − GERMAN, FRENCH AND ENGLISH TRANSLATIONS OF POEMS OF ANDREW ADY	Von, par, by: Paul László	Paris, 1925. Im Selbstverlage in-16° 23. S.	(Adyhoz László Pál verse 3 nyelven)	Paris	1925	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Paris	1925	német
100132	ADY Endre	Források:				német	Austria, Germany	NA	VON DER ÉR ZUM OZEAN − Aus Adys lyrischen Dichtungen	Übertragen von Hugo Matzner	Wien−Leipzig, 1925. Perles 2+62 S.	NA	Wien−Leipzig	1925	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Wien−Leipzig	1925	német
100133	ADY Endre	Források:				német	Hungary	NA	AUF DEM FLAMMENWAGEN DER LIEDER − Eine Auslese	Von Albert Hetényi Heidlberg	Budapest, 1926. Pollák 8° 124 + 4 + 18.	NA	Budapest	1926	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1926	német
100134	---	Források:				német	Hungary	NA	UNGARISCHE LYRIK	Übertragen von Ladislaus Szemere	Budapest, 1933. Selbsverlag 8°	NA	Budapest	1933	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1933	német
100136	---	Források:				német	Hungary	NA	ARANY−PETŐFI−ADY	Übersetzung von Frau Preinreich-Rupprecht	Budapest, 1935. Magyar Szépirodalmat Pártolók Egyesülete	NA	Budapest	1935	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1935	német
100140	ADY Endre	Források:				német	Hungary	NA	ZU GOTTES LINKER HAND. Ausgewaehlte Gedichte	Übersetzt von Felix Liman	Budapest, (1941) R. Gergely 8° 109 + 3 S.	NA	Budapest	1941	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest	1941	német
100141	ADY Endre	Források:				német	Hungary, Germany	NA	ANDREAS ADY	Umdichtungen aus dem Ungarischen und ein Geleitwort von Theodor H. von Hoch	Budapest−Leipzig, (1942) Verlag bei Theodor Lauffer 8° 97 S.	NA	Budapest−Leipzig	1942	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Budapest−Leipzig	1942	német
100143	---	Források:				német	German Democratic Rep. (to 1990)	2	UNGARN ERZÄHLT	Deutsche Nachdichtung von Heinrich Horvát	Berlin, 1954. Volk und Wissen Verlag 8°	NA	Berlin	1954	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	Volk und Wissen	NA	hun	NA	1. Aba−Aradi	Berlin	1954	német
100144	---	Források:				olasz	Italy	NA	NOVELLIERI UNGHERESI	Traduzione di Ignazio Balla e Aldo Borgomaneri Prefazione di Ignazio Balla	Milano, 1931. Alpes in-8° 267 p.	NA	Milano	1931	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Milano	1931	olasz
100145	ADY Endre	Források:				olasz	Italy	NA	POESIE	Versione italiana di Mario Brelich Dall'Asta	Milano, (1931) L'Eroica in-8 96 pp.	NA	Milano	1931	NA	-3		NA	NA	TRUE	NA	demeter	NA	NA	NA	NA	hun	NA	1. Aba−Aradi	Milano	1931	olasz
