author,region1,region2
MESTERHÁZI Lajos,Albania,Albania
PETŐFI Sándor,Albania,Albania
NÉMETH László,Albania,Albania
JÓZSEF Attila,Albania,Albania
MÓRICZ Zsigmond,Albania,Albania
MURÁNYI KOVÁCS Endre,Albania,Albania
MOLNÁR Ferenc,Albania,Albania
JÓZSEF Attila,Albania,Argentina
MOLNÁR Ferenc,Albania,Argentina
PETŐFI Sándor,Albania,Austria
MOLNÁR Ferenc,Albania,Austria
JÓZSEF Attila,Albania,Belgium
MOLNÁR Ferenc,Albania,Belgium
MÓRICZ Zsigmond,Albania,Brasil
MOLNÁR Ferenc,Albania,Brasil
MESTERHÁZI Lajos,Albania,Bulgaria
PETŐFI Sándor,Albania,Bulgaria
NÉMETH László,Albania,Bulgaria
JÓZSEF Attila,Albania,Bulgaria
MÓRICZ Zsigmond,Albania,Bulgaria
MOLNÁR Ferenc,Albania,Bulgaria
MOLNÁR Ferenc,Albania,Colombia
PETŐFI Sándor,Albania,Cuba
NÉMETH László,Albania,Cuba
JÓZSEF Attila,Albania,Cuba
MESTERHÁZI Lajos,Albania,Czechoslovakia-cseh
PETŐFI Sándor,Albania,Czechoslovakia-cseh
NÉMETH László,Albania,Czechoslovakia-cseh
JÓZSEF Attila,Albania,Czechoslovakia-cseh
MÓRICZ Zsigmond,Albania,Czechoslovakia-cseh
MURÁNYI KOVÁCS Endre,Albania,Czechoslovakia-cseh
MOLNÁR Ferenc,Albania,Czechoslovakia-cseh
MESTERHÁZI Lajos,Albania,Czechoslovakia-szlovák
PETŐFI Sándor,Albania,Czechoslovakia-szlovák
NÉMETH László,Albania,Czechoslovakia-szlovák
JÓZSEF Attila,Albania,Czechoslovakia-szlovák
MÓRICZ Zsigmond,Albania,Czechoslovakia-szlovák
MURÁNYI KOVÁCS Endre,Albania,Czechoslovakia-szlovák
MOLNÁR Ferenc,Albania,Czechoslovakia-szlovák
JÓZSEF Attila,Albania,Denmark
PETŐFI Sándor,Albania,Egypt
NÉMETH László,Albania,Federal Republic of Germany
MÓRICZ Zsigmond,Albania,Federal Republic of Germany
MURÁNYI KOVÁCS Endre,Albania,Federal Republic of Germany
MOLNÁR Ferenc,Albania,Federal Republic of Germany
PETŐFI Sándor,Albania,Finland
NÉMETH László,Albania,Finland
MÓRICZ Zsigmond,Albania,Finland
MOLNÁR Ferenc,Albania,Finland
PETŐFI Sándor,Albania,France
NÉMETH László,Albania,France
JÓZSEF Attila,Albania,France
MÓRICZ Zsigmond,Albania,France
MOLNÁR Ferenc,Albania,France
MESTERHÁZI Lajos,Albania,GDR
PETŐFI Sándor,Albania,GDR
NÉMETH László,Albania,GDR
JÓZSEF Attila,Albania,GDR
MÓRICZ Zsigmond,Albania,GDR
MURÁNYI KOVÁCS Endre,Albania,GDR
MOLNÁR Ferenc,Albania,GDR
MÓRICZ Zsigmond,Albania,Greece
MESTERHÁZI Lajos,Albania,Hungary
PETŐFI Sándor,Albania,Hungary
NÉMETH László,Albania,Hungary
JÓZSEF Attila,Albania,Hungary
MÓRICZ Zsigmond,Albania,Hungary
MURÁNYI KOVÁCS Endre,Albania,Hungary
MOLNÁR Ferenc,Albania,Hungary
PETŐFI Sándor,Albania,India
PETŐFI Sándor,Albania,Iran
MÓRICZ Zsigmond,Albania,Iran
PETŐFI Sándor,Albania,Israel
MÓRICZ Zsigmond,Albania,Israel
MOLNÁR Ferenc,Albania,Israel
PETŐFI Sándor,Albania,Italy
NÉMETH László,Albania,Italy
JÓZSEF Attila,Albania,Italy
MOLNÁR Ferenc,Albania,Italy
MESTERHÁZI Lajos,Albania,Japan
PETŐFI Sándor,Albania,Japan
MÓRICZ Zsigmond,Albania,Japan
MOLNÁR Ferenc,Albania,Japan
MOLNÁR Ferenc,Albania,Liechtenstein
PETŐFI Sándor,Albania,Mongolia
NÉMETH László,Albania,Netherlands
PETŐFI Sándor,Albania,North Korea
PETŐFI Sándor,Albania,Norway
NÉMETH László,Albania,Norway
JÓZSEF Attila,Albania,Norway
PETŐFI Sándor,Albania,PR China
JÓZSEF Attila,Albania,PR China
MÓRICZ Zsigmond,Albania,PR China
PETŐFI Sándor,Albania,Poland
NÉMETH László,Albania,Poland
JÓZSEF Attila,Albania,Poland
MÓRICZ Zsigmond,Albania,Poland
MOLNÁR Ferenc,Albania,Poland
JÓZSEF Attila,Albania,Portugal
PETŐFI Sándor,Albania,Romania
NÉMETH László,Albania,Romania
JÓZSEF Attila,Albania,Romania
MÓRICZ Zsigmond,Albania,Romania
MOLNÁR Ferenc,Albania,Romania
PETŐFI Sándor,Albania,Spain
NÉMETH László,Albania,Spain
JÓZSEF Attila,Albania,Spain
MOLNÁR Ferenc,Albania,Spain
PETŐFI Sándor,Albania,Sweden
NÉMETH László,Albania,Sweden
MOLNÁR Ferenc,Albania,Sweden
JÓZSEF Attila,Albania,Switzerland
MÓRICZ Zsigmond,Albania,Switzerland
PETŐFI Sándor,Albania,Turkey
MÓRICZ Zsigmond,Albania,Turkey
MOLNÁR Ferenc,Albania,Turkey
NÉMETH László,Albania,UK
JÓZSEF Attila,Albania,UK
MOLNÁR Ferenc,Albania,UK
PETŐFI Sándor,Albania,USA
NÉMETH László,Albania,USA
JÓZSEF Attila,Albania,USA
MOLNÁR Ferenc,Albania,USA
MESTERHÁZI Lajos,Albania,USSR-azerbajdzsán
PETŐFI Sándor,Albania,USSR-azerbajdzsán
