region1,region2,ratio,common_authors,first
Albania,Albania,NA,NA,NA
Albania,Austria,0.2,1,1
Austria,Albania,0.02631578947368421,1,0
Albania,Belgium,0.2,1,1
Belgium,Albania,0.06666666666666667,1,0
Albania,Bulgaria,1,5,0.5
Bulgaria,Albania,0.07352941176470588,5,4.5
Albania,China,0.6,3,3
China,Albania,0.13636363636363635,3,0
Albania,Cuba,0.6,3,2
Cuba,Albania,0.75,3,1
Albania,Czechoslovakia-cseh,0.8,4,4
Czechoslovakia-cseh,Albania,0.02877697841726619,4,0
Albania,Czechoslovakia-szlovák,1,5,0.5
Czechoslovakia-szlovák,Albania,0.03125,5,4.5
Albania,Denmark,0.2,1,1
Denmark,Albania,0.05555555555555555,1,0
Albania,Federal Republic of Germany,0.4,2,2
Federal Republic of Germany,Albania,0.02197802197802198,2,0
Albania,Finland,0.6,3,3
Finland,Albania,0.07317073170731707,3,0
Albania,France,0.8,4,4
France,Albania,0.06666666666666667,4,0
Albania,GDR,1,5,5
GDR,Albania,0.033112582781456956,5,0
Albania,Hungary,1,5,0.5
Hungary,Albania,0.047619047619047616,5,4.5
Albania,Israel,0.4,2,1
Israel,Albania,0.07692307692307693,2,1
Albania,Italy,0.6,3,3
Italy,Albania,0.06666666666666667,3,0
Albania,Japan,0.6,3,2
Japan,Albania,0.2,3,1
Albania,Mongolia,0.2,1,1
Mongolia,Albania,0.3333333333333333,1,0
Albania,Netherlands,0.2,1,1
Netherlands,Albania,0.030303030303030304,1,0
Albania,North Korea,0.2,1,1
North Korea,Albania,1,1,0
Albania,Norway,0.6,3,2
Norway,Albania,0.14285714285714285,3,1
Albania,Poland,0.8,4,4
Poland,Albania,0.029411764705882353,4,0
Albania,Romania,0.8,4,1
Romania,Albania,0.029850746268656716,4,3
Albania,Spain,0.6,3,1
Spain,Albania,0.0967741935483871,3,2
Albania,Sweden,0.4,2,2
Sweden,Albania,0.058823529411764705,2,0
Albania,Turkey,0.4,2,1
Turkey,Albania,0.06896551724137931,2,1
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0.4,2,1
USSR-azerbajdzsán,Albania,0.2,2,1
Albania,USSR-baskir,0.2,1,1
USSR-baskir,Albania,1,1,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0.2,1,1
USSR-fehérorosz,Albania,0.16666666666666666,1,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0.2,1,1
USSR-grúz,Albania,0.043478260869565216,1,0
Albania,USSR-kazah,0.2,1,1
USSR-kazah,Albania,0.1111111111111111,1,0
Albania,USSR-kirgiz,0.2,1,1
USSR-kirgiz,Albania,0.2,1,0
Albania,USSR-lett,0.8,4,3
USSR-lett,Albania,0.14285714285714285,4,1
Albania,USSR-litván,0.4,2,2
USSR-litván,Albania,0.06060606060606061,2,0
Albania,USSR-liv,0,0,0
USSR-liv,Albania,0,0,0
Albania,USSR-moldva,0.2,1,1
USSR-moldva,Albania,0.09090909090909091,1,0
Albania,USSR-orosz,1,5,5
USSR-orosz,Albania,0.03424657534246575,5,0
Albania,USSR-tadzsik,0.2,1,1
USSR-tadzsik,Albania,0.16666666666666666,1,0
Albania,USSR-türkmén,0.2,1,1
USSR-türkmén,Albania,0.2,1,0
Albania,USSR-udmurt,0.2,1,1
USSR-udmurt,Albania,0.5,1,0
Albania,USSR-ukrán,1,5,3
USSR-ukrán,Albania,0.11363636363636363,5,2
Albania,USSR-észt,0.6,3,1
USSR-észt,Albania,0.09375,3,2
Albania,USSR-örmény,0.4,2,1
USSR-örmény,Albania,0.14285714285714285,2,1
Albania,USSR-üzbég,0.2,1,1
USSR-üzbég,Albania,0.14285714285714285,1,0
Albania,United Kingdom,0.4,2,2
United Kingdom,Albania,0.07142857142857142,2,0
Albania,United States,0.4,2,1
United States,Albania,0.047619047619047616,2,1
Albania,Vietnam,0.6,3,1
Vietnam,Albania,1,3,2
Albania,Yugoslavia,0.8,4,1
Yugoslavia,Albania,0.04938271604938271,4,3
Austria,Austria,NA,NA,NA
Austria,Belgium,0.21052631578947367,8,4
Belgium,Austria,0.5333333333333333,8,4
Austria,Bulgaria,0.34210526315789475,13,5.5
Bulgaria,Austria,0.19117647058823528,13,7.5
Austria,China,0.13157894736842105,5,4
China,Austria,0.22727272727272727,5,1
Austria,Cuba,0.05263157894736842,2,2
Cuba,Austria,0.5,2,0
Austria,Czechoslovakia-cseh,0.4473684210526316,17,11
Czechoslovakia-cseh,Austria,0.1223021582733813,17,6
Austria,Czechoslovakia-szlovák,0.39473684210526316,15,7.5
Czechoslovakia-szlovák,Austria,0.09375,15,7.5
Austria,Denmark,0.13157894736842105,5,5
Denmark,Austria,0.2777777777777778,5,0
Austria,Federal Republic of Germany,0.5,19,10.5
Federal Republic of Germany,Austria,0.2087912087912088,19,8.5
Austria,Finland,0.3157894736842105,12,7
Finland,Austria,0.2926829268292683,12,5
Austria,France,0.42105263157894735,16,8.5
France,Austria,0.26666666666666666,16,7.5
Austria,GDR,0.42105263157894735,16,7
GDR,Austria,0.10596026490066225,16,9
Austria,Hungary,0.2631578947368421,10,5
Hungary,Austria,0.09523809523809523,10,5
Austria,Israel,0.15789473684210525,6,4
Israel,Austria,0.23076923076923078,6,2
Austria,Italy,0.39473684210526316,15,8
Italy,Austria,0.3333333333333333,15,7
Austria,Japan,0.15789473684210525,6,4
Japan,Austria,0.4,6,2
Austria,Mongolia,0.02631578947368421,1,1
Mongolia,Austria,0.3333333333333333,1,0
Austria,Netherlands,0.23684210526315788,9,7
Netherlands,Austria,0.2727272727272727,9,2
Austria,North Korea,0.02631578947368421,1,1
North Korea,Austria,1,1,0
Austria,Norway,0.15789473684210525,6,5
Norway,Austria,0.2857142857142857,6,1
Austria,Poland,0.42105263157894735,16,10
Poland,Austria,0.11764705882352941,16,6
Austria,Romania,0.3684210526315789,14,8
Romania,Austria,0.1044776119402985,14,6
Austria,Spain,0.34210526315789475,13,8.5
Spain,Austria,0.41935483870967744,13,4.5
Austria,Sweden,0.2631578947368421,10,7
Sweden,Austria,0.29411764705882354,10,3
Austria,Turkey,0.15789473684210525,6,4.5
Turkey,Austria,0.20689655172413793,6,1.5
Austria,USSR-altaji,0,0,0
USSR-altaji,Austria,0,0,0
Austria,USSR-azerbajdzsán,0.02631578947368421,1,1
USSR-azerbajdzsán,Austria,0.1,1,0
Austria,USSR-baskir,0.02631578947368421,1,1
USSR-baskir,Austria,1,1,0
Austria,USSR-csuvas,0,0,0
USSR-csuvas,Austria,0,0,0
Austria,USSR-fehérorosz,0.07894736842105263,3,2
USSR-fehérorosz,Austria,0.5,3,1
Austria,USSR-finn,0,0,0
USSR-finn,Austria,0,0,0
Austria,USSR-grúz,0.15789473684210525,6,4
USSR-grúz,Austria,0.2608695652173913,6,2
Austria,USSR-kazah,0.05263157894736842,2,1
USSR-kazah,Austria,0.2222222222222222,2,1
Austria,USSR-kirgiz,0.05263157894736842,2,1
USSR-kirgiz,Austria,0.4,2,1
Austria,USSR-lett,0.23684210526315788,9,8
USSR-lett,Austria,0.32142857142857145,9,1
Austria,USSR-litván,0.18421052631578946,7,4
USSR-litván,Austria,0.21212121212121213,7,3
Austria,USSR-liv,0,0,0
USSR-liv,Austria,0,0,0
Austria,USSR-moldva,0.07894736842105263,3,1
USSR-moldva,Austria,0.2727272727272727,3,2
Austria,USSR-orosz,0.4473684210526316,17,11.5
USSR-orosz,Austria,0.11643835616438356,17,5.5
Austria,USSR-tadzsik,0.02631578947368421,1,1
USSR-tadzsik,Austria,0.16666666666666666,1,0
Austria,USSR-türkmén,0.02631578947368421,1,1
USSR-türkmén,Austria,0.2,1,0
Austria,USSR-udmurt,0.02631578947368421,1,1
USSR-udmurt,Austria,0.5,1,0
