region1,region2,ratio,common_authors,first
Albania,Albania,NA,NA,NA
Albania,Austria,0,0,0
Austria,Albania,0,0,0
Albania,Belgium,0.25,1,1
Belgium,Albania,0.14285714285714285,1,0
Albania,Bulgaria,1,4,0.5
Bulgaria,Albania,0.5714285714285714,4,3.5
Albania,China,0.5,2,2
China,Albania,0.2857142857142857,2,0
Albania,Cuba,0.5,2,1
Cuba,Albania,0.2857142857142857,2,1
Albania,Czechoslovakia-cseh,0.75,3,3
Czechoslovakia-cseh,Albania,0.42857142857142855,3,0
Albania,Czechoslovakia-szlovák,1,4,0.5
Czechoslovakia-szlovák,Albania,0.5714285714285714,4,3.5
Albania,Czechoslovakia-ukrán,0,0,0
Czechoslovakia-ukrán,Albania,0,0,0
Albania,Denmark,0.25,1,1
Denmark,Albania,0.14285714285714285,1,0
Albania,Federal Republic of Germany,0.5,2,2
Federal Republic of Germany,Albania,0.2857142857142857,2,0
Albania,Finland,0.5,2,2
Finland,Albania,0.2857142857142857,2,0
Albania,France,0.75,3,3
France,Albania,0.42857142857142855,3,0
Albania,German Democratic Republic,1,4,1
German Democratic Republic,Albania,0.5714285714285714,4,3
Albania,Hungary,1,4,0.5
Hungary,Albania,0.5714285714285714,4,3.5
Albania,Israel,0.25,1,1
Israel,Albania,0.14285714285714285,1,0
Albania,Italy,0.5,2,2
Italy,Albania,0.2857142857142857,2,0
Albania,Japan,0.5,2,1
Japan,Albania,0.2857142857142857,2,1
Albania,Mongolia,0,0,0
Mongolia,Albania,0,0,0
Albania,Netherlands,0.25,1,1
Netherlands,Albania,0.14285714285714285,1,0
Albania,Norway,0.5,2,1
Norway,Albania,0.2857142857142857,2,1
Albania,Poland,0.75,3,3
Poland,Albania,0.42857142857142855,3,0
Albania,Romania,0.75,3,1
Romania,Albania,0.42857142857142855,3,2
Albania,Spain,0.5,2,2
Spain,Albania,0.2857142857142857,2,0
Albania,Sweden,0.25,1,1
Sweden,Albania,0.14285714285714285,1,0
Albania,Turkey,0.25,1,1
Turkey,Albania,0.14285714285714285,1,0
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0.25,1,1
USSR-azerbajdzsán,Albania,0.14285714285714285,1,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Albania,0,0,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0,0,0
USSR-grúz,Albania,0,0,0
Albania,USSR-kazah,0,0,0
USSR-kazah,Albania,0,0,0
Albania,USSR-kirgiz,0,0,0
USSR-kirgiz,Albania,0,0,0
Albania,USSR-lett,0.75,3,2
USSR-lett,Albania,0.42857142857142855,3,1
Albania,USSR-litván,0.25,1,1
USSR-litván,Albania,0.14285714285714285,1,0
Albania,USSR-liv,0,0,0
USSR-liv,Albania,0,0,0
Albania,USSR-moldva,0,0,0
USSR-moldva,Albania,0,0,0
Albania,USSR-orosz,1,4,4
USSR-orosz,Albania,0.5714285714285714,4,0
Albania,USSR-tadzsik,0,0,0
USSR-tadzsik,Albania,0,0,0
Albania,USSR-türkmén,0,0,0
