author,region1,region2
MESTERHÁZI Lajos,Albania,Albania
PETŐFI Sándor,Albania,Albania
NÉMETH László,Albania,Albania
JÓZSEF Attila,Albania,Albania
MÓRICZ Zsigmond,Albania,Albania
MURÁNYI KOVÁCS Endre,Albania,Albania
JÓZSEF Attila,Albania,Argentina
PETŐFI Sándor,Albania,Austria
JÓZSEF Attila,Albania,Belgium
MÓRICZ Zsigmond,Albania,Brasil
MESTERHÁZI Lajos,Albania,Bulgaria
PETŐFI Sándor,Albania,Bulgaria
NÉMETH László,Albania,Bulgaria
JÓZSEF Attila,Albania,Bulgaria
MÓRICZ Zsigmond,Albania,Bulgaria
PETŐFI Sándor,Albania,China
JÓZSEF Attila,Albania,China
MÓRICZ Zsigmond,Albania,China
PETŐFI Sándor,Albania,Cuba
NÉMETH László,Albania,Cuba
JÓZSEF Attila,Albania,Cuba
PETŐFI Sándor,Albania,Czechoslovakia-cseh
NÉMETH László,Albania,Czechoslovakia-cseh
JÓZSEF Attila,Albania,Czechoslovakia-cseh
MÓRICZ Zsigmond,Albania,Czechoslovakia-cseh
MURÁNYI KOVÁCS Endre,Albania,Czechoslovakia-cseh
MESTERHÁZI Lajos,Albania,Czechoslovakia-szlovák
PETŐFI Sándor,Albania,Czechoslovakia-szlovák
NÉMETH László,Albania,Czechoslovakia-szlovák
JÓZSEF Attila,Albania,Czechoslovakia-szlovák
MÓRICZ Zsigmond,Albania,Czechoslovakia-szlovák
MURÁNYI KOVÁCS Endre,Albania,Czechoslovakia-szlovák
JÓZSEF Attila,Albania,Denmark
PETŐFI Sándor,Albania,Egypt
NÉMETH László,Albania,Federal Republic of Germany
MÓRICZ Zsigmond,Albania,Federal Republic of Germany
MURÁNYI KOVÁCS Endre,Albania,Federal Republic of Germany
PETŐFI Sándor,Albania,Finland
NÉMETH László,Albania,Finland
MÓRICZ Zsigmond,Albania,Finland
PETŐFI Sándor,Albania,France
NÉMETH László,Albania,France
JÓZSEF Attila,Albania,France
MÓRICZ Zsigmond,Albania,France
MESTERHÁZI Lajos,Albania,GDR
PETŐFI Sándor,Albania,GDR
NÉMETH László,Albania,GDR
JÓZSEF Attila,Albania,GDR
MÓRICZ Zsigmond,Albania,GDR
MURÁNYI KOVÁCS Endre,Albania,GDR
MÓRICZ Zsigmond,Albania,Greece
MESTERHÁZI Lajos,Albania,Hungary
PETŐFI Sándor,Albania,Hungary
NÉMETH László,Albania,Hungary
JÓZSEF Attila,Albania,Hungary
MÓRICZ Zsigmond,Albania,Hungary
MURÁNYI KOVÁCS Endre,Albania,Hungary
PETŐFI Sándor,Albania,India
PETŐFI Sándor,Albania,Iran
MÓRICZ Zsigmond,Albania,Iran
PETŐFI Sándor,Albania,Israel
MÓRICZ Zsigmond,Albania,Israel
PETŐFI Sándor,Albania,Italy
NÉMETH László,Albania,Italy
JÓZSEF Attila,Albania,Italy
MESTERHÁZI Lajos,Albania,Japan
PETŐFI Sándor,Albania,Japan
MÓRICZ Zsigmond,Albania,Japan
PETŐFI Sándor,Albania,Mongolia
NÉMETH László,Albania,Netherlands
PETŐFI Sándor,Albania,North Korea
PETŐFI Sándor,Albania,Norway
NÉMETH László,Albania,Norway
JÓZSEF Attila,Albania,Norway
PETŐFI Sándor,Albania,Poland
NÉMETH László,Albania,Poland
JÓZSEF Attila,Albania,Poland
MÓRICZ Zsigmond,Albania,Poland
JÓZSEF Attila,Albania,Portugal
PETŐFI Sándor,Albania,Romania
NÉMETH László,Albania,Romania
JÓZSEF Attila,Albania,Romania
MÓRICZ Zsigmond,Albania,Romania
PETŐFI Sándor,Albania,Spain
NÉMETH László,Albania,Spain
JÓZSEF Attila,Albania,Spain
PETŐFI Sándor,Albania,Sweden
NÉMETH László,Albania,Sweden
JÓZSEF Attila,Albania,Switzerland
MÓRICZ Zsigmond,Albania,Switzerland
PETŐFI Sándor,Albania,Turkey
MÓRICZ Zsigmond,Albania,Turkey
MESTERHÁZI Lajos,Albania,USSR-azerbajdzsán
PETŐFI Sándor,Albania,USSR-azerbajdzsán
PETŐFI Sándor,Albania,USSR-baskir
PETŐFI Sándor,Albania,USSR-fehérorosz
PETŐFI Sándor,Albania,USSR-grúz
PETŐFI Sándor,Albania,USSR-kazah
PETŐFI Sándor,Albania,USSR-kirgiz
PETŐFI Sándor,Albania,USSR-lett
NÉMETH László,Albania,USSR-lett
JÓZSEF Attila,Albania,USSR-lett
MÓRICZ Zsigmond,Albania,USSR-lett
PETŐFI Sándor,Albania,USSR-litván
MÓRICZ Zsigmond,Albania,USSR-litván
PETŐFI Sándor,Albania,USSR-moldva
MESTERHÁZI Lajos,Albania,USSR-orosz
PETŐFI Sándor,Albania,USSR-orosz
NÉMETH László,Albania,USSR-orosz
JÓZSEF Attila,Albania,USSR-orosz
MÓRICZ Zsigmond,Albania,USSR-orosz
MURÁNYI KOVÁCS Endre,Albania,USSR-orosz
PETŐFI Sándor,Albania,USSR-tadzsik
PETŐFI Sándor,Albania,USSR-türkmén
PETŐFI Sándor,Albania,USSR-udmurt
MESTERHÁZI Lajos,Albania,USSR-ukrán
PETŐFI Sándor,Albania,USSR-ukrán
NÉMETH László,Albania,USSR-ukrán
JÓZSEF Attila,Albania,USSR-ukrán
MÓRICZ Zsigmond,Albania,USSR-ukrán
MESTERHÁZI Lajos,Albania,USSR-észt
PETŐFI Sándor,Albania,USSR-észt
