author,region1,region2
KÖRMENDI Ferenc,Argentina,Argentina
KACZÉR Illés,Argentina,Argentina
KÖRMENDI Ferenc,Argentina,Austria
KÖRMENDI Ferenc,Argentina,Belgium
KÖRMENDI Ferenc,Argentina,Brasil
KÖRMENDI Ferenc,Argentina,Czechoslovakia-cseh
KACZÉR Illés,Argentina,Czechoslovakia-cseh
KÖRMENDI Ferenc,Argentina,Federal Republic of Germany
KÖRMENDI Ferenc,Argentina,France
KACZÉR Illés,Argentina,Israel
KÖRMENDI Ferenc,Argentina,Italy
KÖRMENDI Ferenc,Argentina,Netherlands
KÖRMENDI Ferenc,Argentina,Spain
KÖRMENDI Ferenc,Argentina,United Kingdom
KACZÉR Illés,Argentina,United Kingdom
KÖRMENDI Ferenc,Argentina,United States
KACZÉR Illés,Argentina,United States
HARSÁNYI Zsolt,Australia,Australia
Dezséry András,Australia,Australia
Urbán János,Australia,Australia
Domahidy András,Australia,Australia
HARSÁNYI Zsolt,Australia,Austria
HARSÁNYI Zsolt,Australia,Belgium
HARSÁNYI Zsolt,Australia,Federal Republic of Germany
HARSÁNYI Zsolt,Australia,Finland
HARSÁNYI Zsolt,Australia,France
HARSÁNYI Zsolt,Australia,Israel
HARSÁNYI Zsolt,Australia,Italy
HARSÁNYI Zsolt,Australia,Japan
HARSÁNYI Zsolt,Australia,Netherlands
HARSÁNYI Zsolt,Australia,Norway
HARSÁNYI Zsolt,Australia,Spain
HARSÁNYI Zsolt,Australia,Sweden
HARSÁNYI Zsolt,Australia,Switzerland
HARSÁNYI Zsolt,Australia,Turkey
HARSÁNYI Zsolt,Australia,Yugoslavia
Urbán János,Australia,Yugoslavia
BALÁZS Béla,Austria,Austria
BALLA Borisz,Austria,Austria
HARSÁNYI Gréte,Austria,Austria
HARSÁNYI Zsolt,Austria,Austria
KEREKESHÁZY József,Austria,Austria
KOMÁROMI János,Austria,Austria
KOVAI Lőrinc,Austria,Austria
MÁRAI Sándor,Austria,Austria
SŐTÉR István,Austria,Austria
SZÉP Ernő,Austria,Austria
UJVÁRY Géza,Austria,Austria
VASZARY Gábor,Austria,Austria
ZILAHY Lajos,Austria,Austria
KÖRMENDI Ferenc,Austria,Austria
KŐVÁRY György,Austria,Austria
MOLNÁR E. G.,Austria,Austria
SZÁNTÓ György,Austria,Austria
G. SZABÓ Judit,Austria,Austria
SZÁSZ Imre,Austria,Austria
PILINSZKY János,Austria,Austria
MIKES Kelemen,Austria,Austria
Faludi Ferenc,Austria,Austria
ESTERHÁZY Péter,Austria,Austria
HARSÁNYI Zsolt,Austria,Belgium
KÖRMENDI Ferenc,Austria,Belgium
KÖRMENDI Ferenc,Austria,Brasil
VASZARY Gábor,Austria,Bulgaria
ZILAHY Lajos,Austria,Bulgaria
SZÁSZ Imre,Austria,Bulgaria
ZILAHY Lajos,Austria,Chile
KÖRMENDI Ferenc,Austria,Czechoslovakia-cseh
SZÁNTÓ György,Austria,Czechoslovakia-cseh
BALÁZS Béla,Austria,Czechoslovakia-szlovák
MÁRAI Sándor,Austria,Denmark
VASZARY Gábor,Austria,Denmark
ZILAHY Lajos,Austria,Denmark
ESTERHÁZY Péter,Austria,Denmark
VASZARY Gábor,Austria,Egypt
BALÁZS Béla,Austria,Federal Republic of Germany
HARSÁNYI Zsolt,Austria,Federal Republic of Germany
KOMÁROMI János,Austria,Federal Republic of Germany
MÁRAI Sándor,Austria,Federal Republic of Germany
VASZARY Gábor,Austria,Federal Republic of Germany
ZILAHY Lajos,Austria,Federal Republic of Germany
KÖRMENDI Ferenc,Austria,Federal Republic of Germany
