region1,region2,ratio,common_authors,first
Albania,Albania,NA,NA,NA
Albania,Argentina,0.16666666666666666,1,0
Argentina,Albania,0.14285714285714285,1,1
Albania,Australia,0,0,0
Australia,Albania,0,0,0
Albania,Austria,0.16666666666666666,1,1
Austria,Albania,0.025,1,0
Albania,Belgium,0.16666666666666666,1,0
Belgium,Albania,0.058823529411764705,1,1
Albania,Brasil,0.16666666666666666,1,0
Brasil,Albania,0.2,1,1
Albania,Bulgaria,0.8333333333333334,5,0.5
Bulgaria,Albania,0.07352941176470588,5,4.5
Albania,Canada,0,0,0
Canada,Albania,0,0,0
Albania,Chile,0,0,0
Chile,Albania,0,0,0
Albania,China,0.5,3,0
China,Albania,0.13043478260869565,3,3
Albania,Cuba,0.5,3,2
Cuba,Albania,0.75,3,1
Albania,Czechoslovakia-cseh,0.8333333333333334,5,0
Czechoslovakia-cseh,Albania,0.03597122302158273,5,5
Albania,Czechoslovakia-szlovák,1,6,0.5
Czechoslovakia-szlovák,Albania,0.0375,6,5.5
Albania,Denmark,0.16666666666666666,1,0
Denmark,Albania,0.05555555555555555,1,1
Albania,Egypt,0.16666666666666666,1,0
Egypt,Albania,0.2,1,1
Albania,Federal Republic of Germany,0.5,3,0
Federal Republic of Germany,Albania,0.03225806451612903,3,3
Albania,Finland,0.5,3,0
Finland,Albania,0.07317073170731707,3,3
Albania,France,0.6666666666666666,4,0
France,Albania,0.06666666666666667,4,4
Albania,GDR,1,6,0
GDR,Albania,0.039735099337748346,6,6
Albania,Greece,0.16666666666666666,1,0.5
Greece,Albania,0.25,1,0.5
Albania,Hungary,1,6,0.5
Hungary,Albania,0.05714285714285714,6,5.5
Albania,India,0.16666666666666666,1,1
India,Albania,0.5,1,0
Albania,Iran,0.3333333333333333,2,0
Iran,Albania,0.4,2,2
Albania,Israel,0.3333333333333333,2,1
Israel,Albania,0.07692307692307693,2,1
Albania,Italy,0.5,3,0
Italy,Albania,0.06666666666666667,3,3
Albania,Japan,0.5,3,2
Japan,Albania,0.2,3,1
Albania,Liechtenstein,0,0,0
Liechtenstein,Albania,0,0,0
Albania,Malaysia,0,0,0
Malaysia,Albania,0,0,0
Albania,Mexico,0,0,0
Mexico,Albania,0,0,0
Albania,Mongolia,0.16666666666666666,1,1
Mongolia,Albania,0.3333333333333333,1,0
Albania,Netherlands,0.16666666666666666,1,0
Netherlands,Albania,0.030303030303030304,1,1
Albania,North Korea,0.16666666666666666,1,0
North Korea,Albania,1,1,1
Albania,Norway,0.5,3,2
Norway,Albania,0.14285714285714285,3,1
Albania,Poland,0.6666666666666666,4,0
Poland,Albania,0.029411764705882353,4,4
Albania,Portugal,0.16666666666666666,1,1
Portugal,Albania,0.2,1,0
Albania,Romania,0.6666666666666666,4,1
Romania,Albania,0.029850746268656716,4,3
Albania,Singapore,0,0,0
Singapore,Albania,0,0,0
Albania,South Korea,0,0,0
South Korea,Albania,0,0,0
Albania,Spain,0.5,3,1
Spain,Albania,0.09375,3,2
Albania,Sweden,0.3333333333333333,2,2
Sweden,Albania,0.058823529411764705,2,0
Albania,Switzerland,0.3333333333333333,2,0
Switzerland,Albania,0.08695652173913043,2,2
Albania,Turkey,0.3333333333333333,2,1
Turkey,Albania,0.06896551724137931,2,1
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0.3333333333333333,2,1
USSR-azerbajdzsán,Albania,0.2,2,1
Albania,USSR-baskir,0.16666666666666666,1,1
USSR-baskir,Albania,1,1,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0.16666666666666666,1,1
USSR-fehérorosz,Albania,0.16666666666666666,1,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0.16666666666666666,1,0
USSR-grúz,Albania,0.043478260869565216,1,1
Albania,USSR-kazah,0.16666666666666666,1,0
USSR-kazah,Albania,0.1111111111111111,1,1
Albania,USSR-kirgiz,0.16666666666666666,1,0
USSR-kirgiz,Albania,0.2,1,1
Albania,USSR-lett,0.6666666666666666,4,3
USSR-lett,Albania,0.14285714285714285,4,1
Albania,USSR-litván,0.3333333333333333,2,0
USSR-litván,Albania,0.06060606060606061,2,2
Albania,USSR-liv,0,0,0
USSR-liv,Albania,0,0,0
Albania,USSR-moldva,0.16666666666666666,1,0
USSR-moldva,Albania,0.09090909090909091,1,1
Albania,USSR-orosz,1,6,0
USSR-orosz,Albania,0.0410958904109589,6,6
