region1,region2,ratio,common_authors,first
Albania,Albania,NA,NA,NA
Albania,Austria,0.2,1,1
Austria,Albania,0.14285714285714285,1,0
Albania,Belgium,0.2,1,1
Belgium,Albania,0.14285714285714285,1,0
Albania,Bulgaria,1,5,0.5
Bulgaria,Albania,0.7142857142857143,5,4.5
Albania,China,0.6,3,3
China,Albania,0.42857142857142855,3,0
Albania,Cuba,0.6,3,2
Cuba,Albania,0.42857142857142855,3,1
Albania,Czechoslovakia-cseh,0.8,4,4
Czechoslovakia-cseh,Albania,0.5714285714285714,4,0
Albania,Czechoslovakia-szlovák,1,5,0.5
Czechoslovakia-szlovák,Albania,0.7142857142857143,5,4.5
Albania,Czechoslovakia-ukrán,0,0,0
Czechoslovakia-ukrán,Albania,0,0,0
Albania,Denmark,0.2,1,1
Denmark,Albania,0.14285714285714285,1,0
Albania,Federal Republic of Germany,0.4,2,2
Federal Republic of Germany,Albania,0.2857142857142857,2,0
Albania,Finland,0.6,3,3
Finland,Albania,0.42857142857142855,3,0
Albania,France,0.8,4,4
France,Albania,0.5714285714285714,4,0
Albania,German Democratic Republic,1,5,1
German Democratic Republic,Albania,0.7142857142857143,5,4
Albania,Hungary,1,5,0.5
Hungary,Albania,0.7142857142857143,5,4.5
Albania,Israel,0.4,2,1
Israel,Albania,0.2857142857142857,2,1
Albania,Italy,0.6,3,3
Italy,Albania,0.42857142857142855,3,0
Albania,Japan,0.6,3,2
Japan,Albania,0.42857142857142855,3,1
Albania,Mongolia,0.2,1,1
Mongolia,Albania,0.14285714285714285,1,0
Albania,Netherlands,0.2,1,1
Netherlands,Albania,0.14285714285714285,1,0
Albania,North Korea,0.2,1,1
North Korea,Albania,0.14285714285714285,1,0
Albania,Norway,0.6,3,2
Norway,Albania,0.42857142857142855,3,1
Albania,Poland,0.8,4,4
Poland,Albania,0.5714285714285714,4,0
Albania,Romania,0.8,4,1
Romania,Albania,0.5714285714285714,4,3
Albania,Spain,0.6,3,1
Spain,Albania,0.42857142857142855,3,2
Albania,Sweden,0.4,2,2
Sweden,Albania,0.2857142857142857,2,0
Albania,Turkey,0.4,2,1
Turkey,Albania,0.2857142857142857,2,1
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0.4,2,1
USSR-azerbajdzsán,Albania,0.2857142857142857,2,1
Albania,USSR-baskir,0.2,1,1
USSR-baskir,Albania,0.14285714285714285,1,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0.2,1,1
USSR-fehérorosz,Albania,0.14285714285714285,1,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0.2,1,1
USSR-grúz,Albania,0.14285714285714285,1,0
Albania,USSR-kazah,0.2,1,1
USSR-kazah,Albania,0.14285714285714285,1,0
Albania,USSR-kirgiz,0.2,1,1
USSR-kirgiz,Albania,0.14285714285714285,1,0
Albania,USSR-lett,0.8,4,3
USSR-lett,Albania,0.5714285714285714,4,1
Albania,USSR-litván,0.4,2,2
USSR-litván,Albania,0.2857142857142857,2,0
Albania,USSR-liv,0,0,0
USSR-liv,Albania,0,0,0
Albania,USSR-moldva,0.2,1,1
USSR-moldva,Albania,0.14285714285714285,1,0
Albania,USSR-orosz,1,5,5
USSR-orosz,Albania,0.7142857142857143,5,0
Albania,USSR-tadzsik,0.2,1,1
USSR-tadzsik,Albania,0.14285714285714285,1,0
Albania,USSR-türkmén,0.2,1,1
USSR-türkmén,Albania,0.14285714285714285,1,0
Albania,USSR-udmurt,0.2,1,1
USSR-udmurt,Albania,0.14285714285714285,1,0
Albania,USSR-ukrán,1,5,3
USSR-ukrán,Albania,0.7142857142857143,5,2
Albania,USSR-észt,0.6,3,1
USSR-észt,Albania,0.42857142857142855,3,2
Albania,USSR-örmény,0.4,2,1
USSR-örmény,Albania,0.2857142857142857,2,1
Albania,USSR-üzbég,0.2,1,1
USSR-üzbég,Albania,0.14285714285714285,1,0
Albania,United Kingdom,0.4,2,2
United Kingdom,Albania,0.2857142857142857,2,0
Albania,United States,0.4,2,1
United States,Albania,0.2857142857142857,2,1
Albania,Vietnam,0.6,3,1
Vietnam,Albania,0.42857142857142855,3,2
Albania,Yugoslavia,0.8,4,1
Yugoslavia,Albania,0.5714285714285714,4,3
Austria,Austria,NA,NA,NA
Austria,Belgium,0.1951219512195122,8,4
Belgium,Austria,1.1428571428571428,8,4
Austria,Bulgaria,0.3170731707317073,13,5.5
Bulgaria,Austria,1.8571428571428572,13,7.5
Austria,China,0.12195121951219512,5,4
China,Austria,0.7142857142857143,5,1
Austria,Cuba,0.04878048780487805,2,2
Cuba,Austria,0.2857142857142857,2,0
Austria,Czechoslovakia-cseh,0.43902439024390244,18,11
Czechoslovakia-cseh,Austria,2.5714285714285716,18,7
Austria,Czechoslovakia-szlovák,0.36585365853658536,15,7
Czechoslovakia-szlovák,Austria,2.142857142857143,15,8
Austria,Czechoslovakia-ukrán,0,0,0
Czechoslovakia-ukrán,Austria,0,0,0
Austria,Denmark,0.14634146341463414,6,6
Denmark,Austria,0.8571428571428571,6,0
Austria,Federal Republic of Germany,0.4146341463414634,17,9
Federal Republic of Germany,Austria,2.4285714285714284,17,8
Austria,Finland,0.2926829268292683,12,7
Finland,Austria,1.7142857142857142,12,5
Austria,France,0.3902439024390244,16,8.5
France,Austria,2.2857142857142856,16,7.5
Austria,German Democratic Republic,0.4146341463414634,17,8
German Democratic Republic,Austria,2.4285714285714284,17,9
Austria,Hungary,0.24390243902439024,10,5
Hungary,Austria,1.4285714285714286,10,5
Austria,Israel,0.14634146341463414,6,4
Israel,Austria,0.8571428571428571,6,2
Austria,Italy,0.36585365853658536,15,8
Italy,Austria,2.142857142857143,15,7
Austria,Japan,0.14634146341463414,6,4
Japan,Austria,0.8571428571428571,6,2
Austria,Mongolia,0.024390243902439025,1,1
Mongolia,Austria,0.14285714285714285,1,0
Austria,Netherlands,0.21951219512195122,9,7
Netherlands,Austria,1.2857142857142858,9,2
Austria,North Korea,0.024390243902439025,1,1
North Korea,Austria,0.14285714285714285,1,0
Austria,Norway,0.14634146341463414,6,5
Norway,Austria,0.8571428571428571,6,1
Austria,Poland,0.36585365853658536,15,9
Poland,Austria,2.142857142857143,15,6
Austria,Romania,0.34146341463414637,14,8
Romania,Austria,2,14,6
Austria,Spain,0.3170731707317073,13,8.5
Spain,Austria,1.8571428571428572,13,4.5
Austria,Sweden,0.24390243902439024,10,7
Sweden,Austria,1.4285714285714286,10,3
Austria,Turkey,0.14634146341463414,6,4.5
Turkey,Austria,0.8571428571428571,6,1.5
Austria,USSR-altaji,0,0,0
USSR-altaji,Austria,0,0,0
Austria,USSR-azerbajdzsán,0.024390243902439025,1,1
USSR-azerbajdzsán,Austria,0.14285714285714285,1,0
Austria,USSR-baskir,0.024390243902439025,1,1
USSR-baskir,Austria,0.14285714285714285,1,0
Austria,USSR-csuvas,0,0,0
USSR-csuvas,Austria,0,0,0
Austria,USSR-fehérorosz,0.07317073170731707,3,2
USSR-fehérorosz,Austria,0.42857142857142855,3,1
Austria,USSR-finn,0,0,0
USSR-finn,Austria,0,0,0
Austria,USSR-grúz,0.14634146341463414,6,4
USSR-grúz,Austria,0.8571428571428571,6,2
Austria,USSR-kazah,0.04878048780487805,2,1
USSR-kazah,Austria,0.2857142857142857,2,1
Austria,USSR-kirgiz,0.04878048780487805,2,1
USSR-kirgiz,Austria,0.2857142857142857,2,1
Austria,USSR-lett,0.21951219512195122,9,8
USSR-lett,Austria,1.2857142857142858,9,1
Austria,USSR-litván,0.14634146341463414,6,3
USSR-litván,Austria,0.8571428571428571,6,3
Austria,USSR-liv,0,0,0
USSR-liv,Austria,0,0,0
Austria,USSR-moldva,0.07317073170731707,3,1
USSR-moldva,Austria,0.42857142857142855,3,2
