author,region1,region2
BARABÁS Tibor,Bulgaria,Bulgaria
GODA Gábor,Bulgaria,Bulgaria
RIDEG Sándor,Bulgaria,Bulgaria
SZEBERÉNYI Lehel,Bulgaria,Bulgaria
TARDOS Tibor,Bulgaria,Bulgaria
BERKESI András,Bulgaria,Bulgaria
PALOTAI Boris,Bulgaria,Bulgaria
THURY Zsuzsa,Bulgaria,Bulgaria
KOVÁCS Jenő,Bulgaria,Bulgaria
BERKESI András−KARDOS György,Bulgaria,Bulgaria
FEKETE Gyula,Bulgaria,Bulgaria
HUNYADY József,Bulgaria,Bulgaria
ZALKA Miklós,Bulgaria,Bulgaria
MOLNÁR Gábor,Bulgaria,Bulgaria
ÁBEL Péter−PRUKNER Pál,Bulgaria,Bulgaria
DOBOZY Imre,Bulgaria,Bulgaria
GÁL György Sándor,Bulgaria,Bulgaria
JÓKAI Anna,Bulgaria,Bulgaria
PETROVÁCZ István,Bulgaria,Bulgaria
BARÁT Endre,Bulgaria,Bulgaria
BERTHA Bulcsu,Bulgaria,Bulgaria
THIERY Árpád,Bulgaria,Bulgaria
Bogáti Péter,Bulgaria,Bulgaria
CSUKÁS István,Bulgaria,Bulgaria
BETLEN Oszkár,Bulgaria,Bulgaria
TATAY Sándor,Bulgaria,Bulgaria
GODA Gábor,Bulgaria,Czechoslovakia-cseh
BERKESI András,Bulgaria,Czechoslovakia-cseh
PALOTAI Boris,Bulgaria,Czechoslovakia-cseh
BERKESI András−KARDOS György,Bulgaria,Czechoslovakia-cseh
FEKETE Gyula,Bulgaria,Czechoslovakia-cseh
ZALKA Miklós,Bulgaria,Czechoslovakia-cseh
DOBOZY Imre,Bulgaria,Czechoslovakia-cseh
JÓKAI Anna,Bulgaria,Czechoslovakia-cseh
BERTHA Bulcsu,Bulgaria,Czechoslovakia-cseh
Bogáti Péter,Bulgaria,Czechoslovakia-cseh
CSUKÁS István,Bulgaria,Czechoslovakia-cseh
BETLEN Oszkár,Bulgaria,Czechoslovakia-cseh
TATAY Sándor,Bulgaria,Czechoslovakia-cseh
BARABÁS Tibor,Bulgaria,Czechoslovakia-szlovák
GODA Gábor,Bulgaria,Czechoslovakia-szlovák
RIDEG Sándor,Bulgaria,Czechoslovakia-szlovák
BERKESI András,Bulgaria,Czechoslovakia-szlovák
PALOTAI Boris,Bulgaria,Czechoslovakia-szlovák
THURY Zsuzsa,Bulgaria,Czechoslovakia-szlovák
FEKETE Gyula,Bulgaria,Czechoslovakia-szlovák
HUNYADY József,Bulgaria,Czechoslovakia-szlovák
DOBOZY Imre,Bulgaria,Czechoslovakia-szlovák
GÁL György Sándor,Bulgaria,Czechoslovakia-szlovák
JÓKAI Anna,Bulgaria,Czechoslovakia-szlovák
BERTHA Bulcsu,Bulgaria,Czechoslovakia-szlovák
BETLEN Oszkár,Bulgaria,Czechoslovakia-szlovák
TATAY Sándor,Bulgaria,Czechoslovakia-szlovák
GODA Gábor,Bulgaria,GDR
BERKESI András,Bulgaria,GDR
PALOTAI Boris,Bulgaria,GDR
THURY Zsuzsa,Bulgaria,GDR
FEKETE Gyula,Bulgaria,GDR
ZALKA Miklós,Bulgaria,GDR
MOLNÁR Gábor,Bulgaria,GDR
DOBOZY Imre,Bulgaria,GDR
JÓKAI Anna,Bulgaria,GDR
BERTHA Bulcsu,Bulgaria,GDR
THIERY Árpád,Bulgaria,GDR
CSUKÁS István,Bulgaria,GDR
BETLEN Oszkár,Bulgaria,GDR
TATAY Sándor,Bulgaria,GDR
PALOTAI Boris,Bulgaria,Hungary
FEKETE Gyula,Bulgaria,Hungary
DOBOZY Imre,Bulgaria,Mongolia
TARDOS Tibor,Bulgaria,PR China
DOBOZY Imre,Bulgaria,PR China
BERKESI András,Bulgaria,Poland
PALOTAI Boris,Bulgaria,Poland
BERKESI András−KARDOS György,Bulgaria,Poland
HUNYADY József,Bulgaria,Poland
GÁL György Sándor,Bulgaria,Poland
JÓKAI Anna,Bulgaria,Poland
TATAY Sándor,Bulgaria,Poland
GODA Gábor,Bulgaria,Romania
SZEBERÉNYI Lehel,Bulgaria,Romania
BERKESI András,Bulgaria,Romania
FEKETE Gyula,Bulgaria,Romania
DOBOZY Imre,Bulgaria,Romania
BERTHA Bulcsu,Bulgaria,Romania
BETLEN Oszkár,Bulgaria,Romania
PETROVÁCZ István,Bulgaria,USSR-fehérorosz
BERKESI András,Bulgaria,USSR-grúz
TATAY Sándor,Bulgaria,USSR-kazah
TATAY Sándor,Bulgaria,USSR-kirgiz
BERKESI András,Bulgaria,USSR-lett
THURY Zsuzsa,Bulgaria,USSR-lett
FEKETE Gyula,Bulgaria,USSR-lett
BERKESI András,Bulgaria,USSR-litván
GÁL György Sándor,Bulgaria,USSR-litván
TATAY Sándor,Bulgaria,USSR-litván
BARABÁS Tibor,Bulgaria,USSR-orosz
GODA Gábor,Bulgaria,USSR-orosz
BERKESI András,Bulgaria,USSR-orosz
PALOTAI Boris,Bulgaria,USSR-orosz
THURY Zsuzsa,Bulgaria,USSR-orosz
KOVÁCS Jenő,Bulgaria,USSR-orosz
BERKESI András−KARDOS György,Bulgaria,USSR-orosz
FEKETE Gyula,Bulgaria,USSR-orosz
ZALKA Miklós,Bulgaria,USSR-orosz
DOBOZY Imre,Bulgaria,USSR-orosz
GÁL György Sándor,Bulgaria,USSR-orosz
JÓKAI Anna,Bulgaria,USSR-orosz
PETROVÁCZ István,Bulgaria,USSR-orosz
BERTHA Bulcsu,Bulgaria,USSR-orosz
THIERY Árpád,Bulgaria,USSR-orosz
CSUKÁS István,Bulgaria,USSR-orosz
TATAY Sándor,Bulgaria,USSR-orosz
BERKESI András,Bulgaria,USSR-ukrán
THURY Zsuzsa,Bulgaria,USSR-ukrán
BERKESI András−KARDOS György,Bulgaria,USSR-ukrán
DOBOZY Imre,Bulgaria,USSR-ukrán
JÓKAI Anna,Bulgaria,USSR-ukrán
PETROVÁCZ István,Bulgaria,USSR-ukrán
BERTHA Bulcsu,Bulgaria,USSR-ukrán
CSUKÁS István,Bulgaria,USSR-ukrán
TATAY Sándor,Bulgaria,USSR-ukrán
TATAY Sándor,Bulgaria,USSR-észt
BERKESI András,Bulgaria,USSR-örmény
PETROVÁCZ István,Bulgaria,USSR-örmény
TATAY Sándor,Bulgaria,USSR-örmény
BERKESI András,Bulgaria,USSR-üzbég
GODA Gábor,Bulgaria,Yugoslavia
JÓKAI Anna,Bulgaria,Yugoslavia
BALÁZS Anna,Czechoslovakia-cseh,Czechoslovakia-cseh
BOLDIZSÁR Iván,Czechoslovakia-cseh,Czechoslovakia-cseh
EGRY Irén,Czechoslovakia-cseh,Czechoslovakia-cseh
FAZEKAS Mihály,Czechoslovakia-cseh,Czechoslovakia-cseh
GERGELY Sándor,Czechoslovakia-cseh,Czechoslovakia-cseh
ILKU Pál,Czechoslovakia-cseh,Czechoslovakia-cseh
JÓZSEF Jolán,Czechoslovakia-cseh,Czechoslovakia-cseh
KOVÁCS György,Czechoslovakia-cseh,Czechoslovakia-cseh
MORVAY Gyula,Czechoslovakia-cseh,Czechoslovakia-cseh
NAGY Sándor,Czechoslovakia-cseh,Czechoslovakia-cseh
URBÁN Ernő,Czechoslovakia-cseh,Czechoslovakia-cseh
KAFFKA Margit,Czechoslovakia-cseh,Czechoslovakia-cseh
KATONA József,Czechoslovakia-cseh,Czechoslovakia-cseh
ZALKA Máté,Czechoslovakia-cseh,Czechoslovakia-cseh
CSIKY Gergely,Czechoslovakia-cseh,Czechoslovakia-cseh
BERKESI András,Czechoslovakia-cseh,Czechoslovakia-cseh
BETLEN Oszkár,Czechoslovakia-cseh,Czechoslovakia-cseh
KÁLLAI István,Czechoslovakia-cseh,Czechoslovakia-cseh
ÖRSI Ferenc,Czechoslovakia-cseh,Czechoslovakia-cseh
SZIGLIGETI Ede,Czechoslovakia-cseh,Czechoslovakia-cseh
TÓTH Árpád,Czechoslovakia-cseh,Czechoslovakia-cseh
