region1,region2,ratio,common_authors,first
Albania,Albania,NA,NA,NA
Albania,Argentina,0,0,0
Argentina,Albania,0,0,0
Albania,Australia,0,0,0
Australia,Albania,0,0,0
Albania,Austria,0,0,0
Austria,Albania,0,0,0
Albania,Belgium,0,0,0
Belgium,Albania,0,0,0
Albania,Brasil,0,0,0
Brasil,Albania,0,0,0
Albania,Bulgaria,0,0,0
Bulgaria,Albania,0,0,0
Albania,Canada,0,0,0
Canada,Albania,0,0,0
Albania,Chile,0,0,0
Chile,Albania,0,0,0
Albania,Colombia,0,0,0
Colombia,Albania,0,0,0
Albania,Cuba,0,0,0
Cuba,Albania,0,0,0
Albania,Czechoslovakia-cseh,0,0,0
Czechoslovakia-cseh,Albania,0,0,0
Albania,Czechoslovakia-szlovák,0,0,0
Czechoslovakia-szlovák,Albania,0,0,0
Albania,Denmark,0,0,0
Denmark,Albania,0,0,0
Albania,Egypt,0,0,0
Egypt,Albania,0,0,0
Albania,Federal Republic of Germany,0,0,0
Federal Republic of Germany,Albania,0,0,0
Albania,Finland,0,0,0
Finland,Albania,0,0,0
Albania,France,0,0,0
France,Albania,0,0,0
Albania,GDR,0,0,0
GDR,Albania,0,0,0
Albania,Greece,0,0,0
Greece,Albania,0,0,0
Albania,Hungary,0,0,0
Hungary,Albania,0,0,0
Albania,India,0,0,0
India,Albania,0,0,0
Albania,Iran,0,0,0
Iran,Albania,0,0,0
Albania,Israel,0,0,0
Israel,Albania,0,0,0
Albania,Italy,0,0,0
Italy,Albania,0,0,0
Albania,Japan,0,0,0
Japan,Albania,0,0,0
Albania,Liechtenstein,0,0,0
Liechtenstein,Albania,0,0,0
Albania,Malaysia,0,0,0
Malaysia,Albania,0,0,0
Albania,Mexico,0,0,0
Mexico,Albania,0,0,0
Albania,Mongolia,0,0,0
Mongolia,Albania,0,0,0
Albania,Netherlands,0,0,0
Netherlands,Albania,0,0,0
Albania,North Korea,0,0,0
North Korea,Albania,0,0,0
Albania,Norway,0,0,0
Norway,Albania,0,0,0
Albania,PR China,0,0,0
PR China,Albania,0,0,0
Albania,Poland,0,0,0
Poland,Albania,0,0,0
Albania,Portugal,0,0,0
Portugal,Albania,0,0,0
Albania,Romania,0,0,0
Romania,Albania,0,0,0
Albania,Singapore,0,0,0
Singapore,Albania,0,0,0
Albania,South Korea,0,0,0
South Korea,Albania,0,0,0
Albania,Spain,0,0,0
Spain,Albania,0,0,0
Albania,Sweden,0,0,0
Sweden,Albania,0,0,0
Albania,Switzerland,0,0,0
Switzerland,Albania,0,0,0
Albania,Turkey,0,0,0
Turkey,Albania,0,0,0
Albania,UK,0,0,0
UK,Albania,0,0,0
Albania,USA,0,0,0
USA,Albania,0,0,0
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Albania,0,0,0
Albania,USSR-baskir,0,0,0
USSR-baskir,Albania,0,0,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Albania,0,0,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0,0,0
USSR-grúz,Albania,0,0,0
Albania,USSR-kazah,0,0,0
USSR-kazah,Albania,0,0,0
Albania,USSR-kirgiz,0,0,0
USSR-kirgiz,Albania,0,0,0
Albania,USSR-lett,0,0,0
USSR-lett,Albania,0,0,0
Albania,USSR-litván,0,0,0
USSR-litván,Albania,0,0,0
Albania,USSR-moldva,0,0,0
USSR-moldva,Albania,0,0,0
Albania,USSR-orosz,0,0,0
USSR-orosz,Albania,0,0,0
Albania,USSR-tadzsik,0,0,0
USSR-tadzsik,Albania,0,0,0
Albania,USSR-türkmén,0,0,0
