region1,region2,ratio,common_authors,first
Albania,Albania,NA,NA,NA
Albania,Argentina,0.2857142857142857,2,0
Argentina,Albania,0.25,2,2
Albania,Australia,0,0,0
Australia,Albania,0,0,0
Albania,Austria,0.2857142857142857,2,2
Austria,Albania,0.05,2,0
Albania,Belgium,0.2857142857142857,2,0
Belgium,Albania,0.11764705882352941,2,2
Albania,Brasil,0.2857142857142857,2,0
Brasil,Albania,0.3333333333333333,2,2
Albania,Bulgaria,0.8571428571428571,6,0.5
Bulgaria,Albania,0.08571428571428572,6,5.5
Albania,Canada,0,0,0
Canada,Albania,0,0,0
Albania,Chile,0,0,0
Chile,Albania,0,0,0
Albania,Colombia,0.14285714285714285,1,0
Colombia,Albania,1,1,1
Albania,Cuba,0.42857142857142855,3,2
Cuba,Albania,0.6,3,1
Albania,Czechoslovakia-cseh,1,7,0.5
Czechoslovakia-cseh,Albania,0.04964539007092199,7,6.5
Albania,Czechoslovakia-szlovák,1,7,0.5
Czechoslovakia-szlovák,Albania,0.04216867469879518,7,6.5
Albania,Denmark,0.14285714285714285,1,0
Denmark,Albania,0.05555555555555555,1,1
Albania,Egypt,0.14285714285714285,1,0
Egypt,Albania,0.2,1,1
Albania,Federal Republic of Germany,0.5714285714285714,4,0
Federal Republic of Germany,Albania,0.0425531914893617,4,4
Albania,Finland,0.5714285714285714,4,0
Finland,Albania,0.09523809523809523,4,4
Albania,France,0.7142857142857143,5,0
France,Albania,0.08333333333333333,5,5
Albania,GDR,1,7,1
GDR,Albania,0.04516129032258064,7,6
Albania,Greece,0.14285714285714285,1,0.5
Greece,Albania,0.25,1,0.5
Albania,Hungary,1,7,1.5
Hungary,Albania,0.06666666666666667,7,5.5
Albania,India,0.14285714285714285,1,1
India,Albania,0.3333333333333333,1,0
Albania,Iran,0.2857142857142857,2,0
Iran,Albania,0.4,2,2
Albania,Israel,0.42857142857142855,3,1
Israel,Albania,0.10714285714285714,3,2
Albania,Italy,0.5714285714285714,4,0
Italy,Albania,0.08333333333333333,4,4
Albania,Japan,0.5714285714285714,4,2
Japan,Albania,0.26666666666666666,4,2
Albania,Liechtenstein,0.14285714285714285,1,0
Liechtenstein,Albania,1,1,1
Albania,Malaysia,0,0,0
Malaysia,Albania,0,0,0
Albania,Mexico,0,0,0
Mexico,Albania,0,0,0
Albania,Mongolia,0.14285714285714285,1,1
Mongolia,Albania,0.2,1,0
Albania,Netherlands,0.14285714285714285,1,0
Netherlands,Albania,0.030303030303030304,1,1
Albania,North Korea,0.14285714285714285,1,0
North Korea,Albania,1,1,1
Albania,Norway,0.42857142857142855,3,2
Norway,Albania,0.13043478260869565,3,1
Albania,PR China,0.42857142857142855,3,0
PR China,Albania,0.13043478260869565,3,3
Albania,Poland,0.7142857142857143,5,0
Poland,Albania,0.0364963503649635,5,5
Albania,Portugal,0.14285714285714285,1,1
Portugal,Albania,0.16666666666666666,1,0
Albania,Romania,0.7142857142857143,5,1
Romania,Albania,0.0364963503649635,5,4
Albania,Singapore,0,0,0
Singapore,Albania,0,0,0
Albania,South Korea,0,0,0
South Korea,Albania,0,0,0
Albania,Spain,0.5714285714285714,4,1
Spain,Albania,0.11764705882352941,4,3
Albania,Sweden,0.42857142857142855,3,2
Sweden,Albania,0.08571428571428572,3,1
Albania,Switzerland,0.2857142857142857,2,0
Switzerland,Albania,0.09090909090909091,2,2
Albania,Turkey,0.42857142857142855,3,1
Turkey,Albania,0.1,3,2
Albania,UK,0.42857142857142855,3,0
UK,Albania,0.10714285714285714,3,3
Albania,USA,0.5714285714285714,4,1
USA,Albania,0.08695652173913043,4,3
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0.2857142857142857,2,1
USSR-azerbajdzsán,Albania,0.2,2,1
Albania,USSR-baskir,0.14285714285714285,1,1
USSR-baskir,Albania,1,1,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0.14285714285714285,1,1
USSR-fehérorosz,Albania,0.14285714285714285,1,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0.2857142857142857,2,1
USSR-grúz,Albania,0.08695652173913043,2,1
Albania,USSR-kazah,0.14285714285714285,1,0
USSR-kazah,Albania,0.1111111111111111,1,1
Albania,USSR-kirgiz,0.14285714285714285,1,0
USSR-kirgiz,Albania,0.2,1,1
Albania,USSR-lett,0.5714285714285714,4,3
USSR-lett,Albania,0.14285714285714285,4,1
Albania,USSR-litván,0.5714285714285714,4,1
USSR-litván,Albania,0.11428571428571428,4,3
Albania,USSR-moldva,0.2857142857142857,2,0
USSR-moldva,Albania,0.18181818181818182,2,2
Albania,USSR-orosz,1,7,0
USSR-orosz,Albania,0.0472972972972973,7,7
Albania,USSR-tadzsik,0.14285714285714285,1,1
USSR-tadzsik,Albania,0.16666666666666666,1,0
Albania,USSR-türkmén,0.14285714285714285,1,0
USSR-türkmén,Albania,0.2,1,1
Albania,USSR-udmurt,0.14285714285714285,1,1
USSR-udmurt,Albania,0.5,1,0
Albania,USSR-ukrán,0.8571428571428571,6,3
USSR-ukrán,Albania,0.13333333333333333,6,3
Albania,USSR-észt,0.7142857142857143,5,2
USSR-észt,Albania,0.15151515151515152,5,3
Albania,USSR-örmény,0.42857142857142855,3,1
USSR-örmény,Albania,0.1875,3,2
Albania,USSR-üzbég,0.2857142857142857,2,2
USSR-üzbég,Albania,0.25,2,0
Albania,Venezuela,0,0,0
Venezuela,Albania,0,0,0
Albania,Vietnam,0.42857142857142855,3,1
Vietnam,Albania,0.6,3,2
Albania,Yugoslavia,0.7142857142857143,5,1
Yugoslavia,Albania,0.06097560975609756,5,4
Argentina,Argentina,NA,NA,NA
Argentina,Australia,0,0,0
Australia,Argentina,0,0,0
Argentina,Austria,0.375,3,2
Austria,Argentina,0.075,3,1
Argentina,Belgium,0.5,4,1
Belgium,Argentina,0.23529411764705882,4,3
Argentina,Brasil,0.25,2,1
Brasil,Argentina,0.3333333333333333,2,1
Argentina,Bulgaria,0.5,4,2
Bulgaria,Argentina,0.05714285714285714,4,2
Argentina,Canada,0,0,0
Canada,Argentina,0,0,0
Argentina,Chile,0,0,0
Chile,Argentina,0,0,0
Argentina,Colombia,0.125,1,1
Colombia,Argentina,1,1,0
Argentina,Cuba,0.125,1,0.5
Cuba,Argentina,0.2,1,0.5
Argentina,Czechoslovakia-cseh,0.75,6,4
Czechoslovakia-cseh,Argentina,0.0425531914893617,6,2
Argentina,Czechoslovakia-szlovák,0.5,4,2
Czechoslovakia-szlovák,Argentina,0.024096385542168676,4,2
Argentina,Denmark,0.25,2,1
Denmark,Argentina,0.1111111111111111,2,1
Argentina,Egypt,0,0,0
Egypt,Argentina,0,0,0
Argentina,Federal Republic of Germany,0.375,3,0
Federal Republic of Germany,Argentina,0.031914893617021274,3,3
Argentina,Finland,0.25,2,0
Finland,Argentina,0.047619047619047616,2,2
Argentina,France,0.625,5,1.5
France,Argentina,0.08333333333333333,5,3.5
Argentina,GDR,0.5,4,2
GDR,Argentina,0.025806451612903226,4,2
Argentina,Greece,0,0,0
Greece,Argentina,0,0,0
Argentina,Hungary,0.375,3,2
Hungary,Argentina,0.02857142857142857,3,1
Argentina,India,0,0,0
India,Argentina,0,0,0
Argentina,Iran,0,0,0
Iran,Argentina,0,0,0
Argentina,Israel,0.375,3,2
Israel,Argentina,0.10714285714285714,3,1
Argentina,Italy,0.625,5,2
Italy,Argentina,0.10416666666666667,5,3
Argentina,Japan,0.125,1,0
Japan,Argentina,0.06666666666666667,1,1
Argentina,Liechtenstein,0.125,1,1
Liechtenstein,Argentina,1,1,0
Argentina,Malaysia,0,0,0
Malaysia,Argentina,0,0,0
Argentina,Mexico,0.25,2,2
Mexico,Argentina,0.6666666666666666,2,0
Argentina,Mongolia,0,0,0
Mongolia,Argentina,0,0,0
Argentina,Netherlands,0.25,2,1
Netherlands,Argentina,0.06060606060606061,2,1
Argentina,North Korea,0,0,0
North Korea,Argentina,0,0,0
Argentina,Norway,0.25,2,2
Norway,Argentina,0.08695652173913043,2,0
Argentina,PR China,0.25,2,1
PR China,Argentina,0.08695652173913043,2,1
Argentina,Poland,0.5,4,2
Poland,Argentina,0.029197080291970802,4,2
Argentina,Portugal,0.25,2,1
Portugal,Argentina,0.3333333333333333,2,1
Argentina,Romania,0.5,4,2
Romania,Argentina,0.029197080291970802,4,2
Argentina,Singapore,0,0,0
Singapore,Argentina,0,0,0
Argentina,South Korea,0,0,0
South Korea,Argentina,0,0,0
Argentina,Spain,0.625,5,4
Spain,Argentina,0.14705882352941177,5,1
Argentina,Sweden,0.375,3,2
Sweden,Argentina,0.08571428571428572,3,1
Argentina,Switzerland,0.25,2,1.5
Switzerland,Argentina,0.09090909090909091,2,0.5
Argentina,Turkey,0.375,3,1
Turkey,Argentina,0.1,3,2
Argentina,UK,0.625,5,1
UK,Argentina,0.17857142857142858,5,4
Argentina,USA,0.625,5,2
USA,Argentina,0.10869565217391304,5,3
Argentina,USSR-altaji,0,0,0
USSR-altaji,Argentina,0,0,0
Argentina,USSR-azerbajdzsán,0.125,1,1
USSR-azerbajdzsán,Argentina,0.1,1,0
Argentina,USSR-baskir,0,0,0
USSR-baskir,Argentina,0,0,0
Argentina,USSR-csuvas,0,0,0
USSR-csuvas,Argentina,0,0,0
Argentina,USSR-fehérorosz,0.125,1,1
USSR-fehérorosz,Argentina,0.14285714285714285,1,0
Argentina,USSR-finn,0,0,0
USSR-finn,Argentina,0,0,0
Argentina,USSR-grúz,0.375,3,3
USSR-grúz,Argentina,0.13043478260869565,3,0
Argentina,USSR-kazah,0,0,0
USSR-kazah,Argentina,0,0,0
Argentina,USSR-kirgiz,0,0,0
USSR-kirgiz,Argentina,0,0,0
Argentina,USSR-lett,0.25,2,2
USSR-lett,Argentina,0.07142857142857142,2,0
Argentina,USSR-litván,0.375,3,3
USSR-litván,Argentina,0.08571428571428572,3,0
Argentina,USSR-moldva,0.25,2,2
USSR-moldva,Argentina,0.18181818181818182,2,0
Argentina,USSR-orosz,0.5,4,3
USSR-orosz,Argentina,0.02702702702702703,4,1
Argentina,USSR-tadzsik,0.125,1,1
USSR-tadzsik,Argentina,0.16666666666666666,1,0
Argentina,USSR-türkmén,0.125,1,1
USSR-türkmén,Argentina,0.2,1,0
Argentina,USSR-udmurt,0,0,0
USSR-udmurt,Argentina,0,0,0
Argentina,USSR-ukrán,0.375,3,3
USSR-ukrán,Argentina,0.06666666666666667,3,0
Argentina,USSR-észt,0.375,3,3
USSR-észt,Argentina,0.09090909090909091,3,0
Argentina,USSR-örmény,0.25,2,2
USSR-örmény,Argentina,0.125,2,0
Argentina,USSR-üzbég,0,0,0
USSR-üzbég,Argentina,0,0,0
Argentina,Venezuela,0,0,0
Venezuela,Argentina,0,0,0
Argentina,Vietnam,0.125,1,0.5
Vietnam,Argentina,0.2,1,0.5
Argentina,Yugoslavia,0.5,4,2
Yugoslavia,Argentina,0.04878048780487805,4,2
Australia,Australia,NA,NA,NA
Australia,Austria,0.2,1,0
Austria,Australia,0.025,1,1
Australia,Belgium,0.2,1,0
Belgium,Australia,0.058823529411764705,1,1
Australia,Brasil,0.2,1,0.5
Brasil,Australia,0.16666666666666666,1,0.5
Australia,Bulgaria,0,0,0
Bulgaria,Australia,0,0,0
Australia,Canada,0,0,0
Canada,Australia,0,0,0
Australia,Chile,0,0,0
Chile,Australia,0,0,0
Australia,Colombia,0,0,0
Colombia,Australia,0,0,0
Australia,Cuba,0,0,0
Cuba,Australia,0,0,0
Australia,Czechoslovakia-cseh,0.2,1,1
Czechoslovakia-cseh,Australia,0.0070921985815602835,1,0
Australia,Czechoslovakia-szlovák,0.2,1,0
Czechoslovakia-szlovák,Australia,0.006024096385542169,1,1
Australia,Denmark,0,0,0
Denmark,Australia,0,0,0
Australia,Egypt,0,0,0
Egypt,Australia,0,0,0
Australia,Federal Republic of Germany,0.2,1,0
Federal Republic of Germany,Australia,0.010638297872340425,1,1
Australia,Finland,0.2,1,0
Finland,Australia,0.023809523809523808,1,1
Australia,France,0.2,1,0
France,Australia,0.016666666666666666,1,1
Australia,GDR,0,0,0
GDR,Australia,0,0,0
Australia,Greece,0,0,0
Greece,Australia,0,0,0
Australia,Hungary,0.2,1,0
Hungary,Australia,0.009523809523809525,1,1
Australia,India,0,0,0
India,Australia,0,0,0
Australia,Iran,0,0,0
Iran,Australia,0,0,0
Australia,Israel,0.2,1,1
Israel,Australia,0.03571428571428571,1,0
Australia,Italy,0.4,2,2
Italy,Australia,0.041666666666666664,2,0
Australia,Japan,0.4,2,2
Japan,Australia,0.13333333333333333,2,0
Australia,Liechtenstein,0,0,0
Liechtenstein,Australia,0,0,0
Australia,Malaysia,0,0,0
Malaysia,Australia,0,0,0
Australia,Mexico,0,0,0
Mexico,Australia,0,0,0
Australia,Mongolia,0,0,0
Mongolia,Australia,0,0,0
Australia,Netherlands,0.2,1,0.5
Netherlands,Australia,0.030303030303030304,1,0.5
Australia,North Korea,0,0,0
North Korea,Australia,0,0,0
Australia,Norway,0.4,2,2
Norway,Australia,0.08695652173913043,2,0
Australia,PR China,0,0,0
PR China,Australia,0,0,0
Australia,Poland,0.2,1,1
Poland,Australia,0.0072992700729927005,1,0
Australia,Portugal,0,0,0
Portugal,Australia,0,0,0
Australia,Romania,0.2,1,1
Romania,Australia,0.0072992700729927005,1,0
Australia,Singapore,0,0,0
Singapore,Australia,0,0,0
Australia,South Korea,0,0,0
South Korea,Australia,0,0,0
Australia,Spain,0.2,1,1
Spain,Australia,0.029411764705882353,1,0
Australia,Sweden,0.2,1,0
Sweden,Australia,0.02857142857142857,1,1
Australia,Switzerland,0.2,1,1
Switzerland,Australia,0.045454545454545456,1,0
Australia,Turkey,0.4,2,1
Turkey,Australia,0.06666666666666667,2,1
Australia,UK,0,0,0
UK,Australia,0,0,0
Australia,USA,0.2,1,1
USA,Australia,0.021739130434782608,1,0
Australia,USSR-altaji,0,0,0
USSR-altaji,Australia,0,0,0
Australia,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Australia,0,0,0
Australia,USSR-baskir,0,0,0
USSR-baskir,Australia,0,0,0
Australia,USSR-csuvas,0,0,0
USSR-csuvas,Australia,0,0,0
Australia,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Australia,0,0,0
Australia,USSR-finn,0,0,0
USSR-finn,Australia,0,0,0
Australia,USSR-grúz,0.2,1,1
USSR-grúz,Australia,0.043478260869565216,1,0
Australia,USSR-kazah,0,0,0
USSR-kazah,Australia,0,0,0
Australia,USSR-kirgiz,0,0,0
USSR-kirgiz,Australia,0,0,0
Australia,USSR-lett,0,0,0
USSR-lett,Australia,0,0,0
Australia,USSR-litván,0,0,0
USSR-litván,Australia,0,0,0
Australia,USSR-moldva,0,0,0
USSR-moldva,Australia,0,0,0
Australia,USSR-orosz,0.2,1,1
USSR-orosz,Australia,0.006756756756756757,1,0
Australia,USSR-tadzsik,0,0,0
USSR-tadzsik,Australia,0,0,0
Australia,USSR-türkmén,0,0,0
USSR-türkmén,Australia,0,0,0
Australia,USSR-udmurt,0,0,0
USSR-udmurt,Australia,0,0,0
Australia,USSR-ukrán,0.2,1,1
USSR-ukrán,Australia,0.022222222222222223,1,0
Australia,USSR-észt,0,0,0
USSR-észt,Australia,0,0,0
Australia,USSR-örmény,0,0,0
USSR-örmény,Australia,0,0,0
Australia,USSR-üzbég,0,0,0
USSR-üzbég,Australia,0,0,0
Australia,Venezuela,0,0,0
Venezuela,Australia,0,0,0
Australia,Vietnam,0,0,0
Vietnam,Australia,0,0,0
Australia,Yugoslavia,0.4,2,1
Yugoslavia,Australia,0.024390243902439025,2,1
Austria,Austria,NA,NA,NA
Austria,Belgium,0.225,9,5
Belgium,Austria,0.5294117647058824,9,4
Austria,Brasil,0.1,4,2
Brasil,Austria,0.6666666666666666,4,2
Austria,Bulgaria,0.35,14,7.5
Bulgaria,Austria,0.2,14,6.5
Austria,Canada,0.025,1,1
Canada,Austria,0.16666666666666666,1,0
Austria,Chile,0.05,2,2
Chile,Austria,1,2,0
Austria,Colombia,0.025,1,0
Colombia,Austria,1,1,1
Austria,Cuba,0.05,2,2
Cuba,Austria,0.4,2,0
Austria,Czechoslovakia-cseh,0.425,17,11
Czechoslovakia-cseh,Austria,0.12056737588652482,17,6
Austria,Czechoslovakia-szlovák,0.4,16,8.5
Czechoslovakia-szlovák,Austria,0.0963855421686747,16,7.5
Austria,Denmark,0.125,5,5
Denmark,Austria,0.2777777777777778,5,0
Austria,Egypt,0.075,3,2
Egypt,Austria,0.6,3,1
Austria,Federal Republic of Germany,0.525,21,12.5
Federal Republic of Germany,Austria,0.22340425531914893,21,8.5
Austria,Finland,0.35,14,7
Finland,Austria,0.3333333333333333,14,7
Austria,France,0.4,16,8.5
France,Austria,0.26666666666666666,16,7.5
Austria,GDR,0.425,17,10
GDR,Austria,0.10967741935483871,17,7
Austria,Greece,0.025,1,1
Greece,Austria,0.25,1,0
Austria,Hungary,0.25,10,6
Hungary,Austria,0.09523809523809523,10,4
Austria,India,0.05,2,1
India,Austria,0.6666666666666666,2,1
Austria,Iran,0.025,1,0
Iran,Austria,0.2,1,1
Austria,Israel,0.15,6,3
Israel,Austria,0.21428571428571427,6,3
Austria,Italy,0.4,16,9
Italy,Austria,0.3333333333333333,16,7
Austria,Japan,0.15,6,4
Japan,Austria,0.4,6,2
Austria,Liechtenstein,0.025,1,0
Liechtenstein,Austria,1,1,1
Austria,Malaysia,0,0,0
Malaysia,Austria,0,0,0
Austria,Mexico,0.05,2,2
Mexico,Austria,0.6666666666666666,2,0
Austria,Mongolia,0.025,1,0
Mongolia,Austria,0.2,1,1
Austria,Netherlands,0.25,10,8
Netherlands,Austria,0.30303030303030304,10,2
Austria,North Korea,0.025,1,0
North Korea,Austria,1,1,1
Austria,Norway,0.15,6,5
Norway,Austria,0.2608695652173913,6,1
Austria,PR China,0.125,5,4
PR China,Austria,0.21739130434782608,5,1
Austria,Poland,0.425,17,10
Poland,Austria,0.12408759124087591,17,7
Austria,Portugal,0.05,2,2
Portugal,Austria,0.3333333333333333,2,0
Austria,Romania,0.35,14,7.5
Romania,Austria,0.10218978102189781,14,6.5
Austria,Singapore,0,0,0
Singapore,Austria,0,0,0
Austria,South Korea,0.025,1,1
South Korea,Austria,1,1,0
Austria,Spain,0.325,13,8.5
Spain,Austria,0.38235294117647056,13,4.5
Austria,Sweden,0.25,10,7
Sweden,Austria,0.2857142857142857,10,3
Austria,Switzerland,0.15,6,4
Switzerland,Austria,0.2727272727272727,6,2
Austria,Turkey,0.175,7,5.5
Turkey,Austria,0.23333333333333334,7,1.5
Austria,UK,0.25,10,6
UK,Austria,0.35714285714285715,10,4
Austria,USA,0.225,9,3.5
USA,Austria,0.1956521739130435,9,5.5
Austria,USSR-altaji,0,0,0
USSR-altaji,Austria,0,0,0
Austria,USSR-azerbajdzsán,0.025,1,0
USSR-azerbajdzsán,Austria,0.1,1,1
Austria,USSR-baskir,0.025,1,0
USSR-baskir,Austria,1,1,1
Austria,USSR-csuvas,0,0,0
USSR-csuvas,Austria,0,0,0
Austria,USSR-fehérorosz,0.075,3,2
USSR-fehérorosz,Austria,0.42857142857142855,3,1
Austria,USSR-finn,0,0,0
USSR-finn,Austria,0,0,0
Austria,USSR-grúz,0.15,6,4
USSR-grúz,Austria,0.2608695652173913,6,2
Austria,USSR-kazah,0.05,2,1
USSR-kazah,Austria,0.2222222222222222,2,1
Austria,USSR-kirgiz,0.05,2,1
USSR-kirgiz,Austria,0.4,2,1
Austria,USSR-lett,0.2,8,8
USSR-lett,Austria,0.2857142857142857,8,0
Austria,USSR-litván,0.2,8,5
USSR-litván,Austria,0.22857142857142856,8,3
Austria,USSR-moldva,0.075,3,1
USSR-moldva,Austria,0.2727272727272727,3,2
Austria,USSR-orosz,0.45,18,12.5
USSR-orosz,Austria,0.12162162162162163,18,5.5
Austria,USSR-tadzsik,0.025,1,0
USSR-tadzsik,Austria,0.16666666666666666,1,1
Austria,USSR-türkmén,0.025,1,0
USSR-türkmén,Austria,0.2,1,1
Austria,USSR-udmurt,0.025,1,1
USSR-udmurt,Austria,0.5,1,0
Austria,USSR-ukrán,0.175,7,3
USSR-ukrán,Austria,0.15555555555555556,7,4
Austria,USSR-észt,0.225,9,5.5
USSR-észt,Austria,0.2727272727272727,9,3.5
Austria,USSR-örmény,0.05,2,0
USSR-örmény,Austria,0.125,2,2
Austria,USSR-üzbég,0.075,3,2
USSR-üzbég,Austria,0.375,3,1
Austria,Venezuela,0,0,0
Venezuela,Austria,0,0,0
Austria,Vietnam,0.05,2,1
Vietnam,Austria,0.4,2,1
Austria,Yugoslavia,0.375,15,10
Yugoslavia,Austria,0.18292682926829268,15,5
Belgium,Belgium,NA,NA,NA
Belgium,Brasil,0.23529411764705882,4,4
Brasil,Belgium,0.6666666666666666,4,0
Belgium,Bulgaria,0.4117647058823529,7,3
Bulgaria,Belgium,0.1,7,4
Belgium,Canada,0,0,0
Canada,Belgium,0,0,0
Belgium,Chile,0,0,0
Chile,Belgium,0,0,0
Belgium,Colombia,0.058823529411764705,1,1
Colombia,Belgium,1,1,0
Belgium,Cuba,0.11764705882352941,2,0
Cuba,Belgium,0.4,2,2
Belgium,Czechoslovakia-cseh,0.5882352941176471,10,5
Czechoslovakia-cseh,Belgium,0.07092198581560284,10,5
Belgium,Czechoslovakia-szlovák,0.6470588235294118,11,5
Czechoslovakia-szlovák,Belgium,0.06626506024096386,11,6
Belgium,Denmark,0.11764705882352941,2,0.5
Denmark,Belgium,0.1111111111111111,2,1.5
Belgium,Egypt,0,0,0
Egypt,Belgium,0,0,0
Belgium,Federal Republic of Germany,0.7058823529411765,12,5.5
Federal Republic of Germany,Belgium,0.1276595744680851,12,6.5
Belgium,Finland,0.35294117647058826,6,3
Finland,Belgium,0.14285714285714285,6,3
Belgium,France,0.7058823529411765,12,4.5
France,Belgium,0.2,12,7.5
Belgium,GDR,0.6470588235294118,11,6
GDR,Belgium,0.07096774193548387,11,5
Belgium,Greece,0.058823529411764705,1,1
Greece,Belgium,0.25,1,0
Belgium,Hungary,0.4117647058823529,7,4
Hungary,Belgium,0.06666666666666667,7,3
Belgium,India,0,0,0
India,Belgium,0,0,0
Belgium,Iran,0,0,0
Iran,Belgium,0,0,0
Belgium,Israel,0.23529411764705882,4,3
Israel,Belgium,0.14285714285714285,4,1
Belgium,Italy,0.6470588235294118,11,5.5
Italy,Belgium,0.22916666666666666,11,5.5
Belgium,Japan,0.11764705882352941,2,2
Japan,Belgium,0.13333333333333333,2,0
Belgium,Liechtenstein,0.058823529411764705,1,1
Liechtenstein,Belgium,1,1,0
Belgium,Malaysia,0,0,0
Malaysia,Belgium,0,0,0
Belgium,Mexico,0.11764705882352941,2,1
Mexico,Belgium,0.6666666666666666,2,1
Belgium,Mongolia,0,0,0
Mongolia,Belgium,0,0,0
Belgium,Netherlands,0.5294117647058824,9,8
Netherlands,Belgium,0.2727272727272727,9,1
Belgium,North Korea,0,0,0
North Korea,Belgium,0,0,0
Belgium,Norway,0.23529411764705882,4,4
Norway,Belgium,0.17391304347826086,4,0
Belgium,PR China,0.11764705882352941,2,1
PR China,Belgium,0.08695652173913043,2,1
Belgium,Poland,0.7058823529411765,12,6.5
Poland,Belgium,0.08759124087591241,12,5.5
Belgium,Portugal,0.17647058823529413,3,3
Portugal,Belgium,0.5,3,0
Belgium,Romania,0.5294117647058824,9,4
Romania,Belgium,0.06569343065693431,9,5
Belgium,Singapore,0,0,0
Singapore,Belgium,0,0,0
Belgium,South Korea,0,0,0
South Korea,Belgium,0,0,0
Belgium,Spain,0.5294117647058824,9,7
Spain,Belgium,0.2647058823529412,9,2
Belgium,Sweden,0.23529411764705882,4,3.5
Sweden,Belgium,0.11428571428571428,4,0.5
Belgium,Switzerland,0.17647058823529413,3,2
Switzerland,Belgium,0.13636363636363635,3,1
Belgium,Turkey,0.23529411764705882,4,3
Turkey,Belgium,0.13333333333333333,4,1
Belgium,UK,0.47058823529411764,8,4.5
UK,Belgium,0.2857142857142857,8,3.5
Belgium,USA,0.4117647058823529,7,5
USA,Belgium,0.15217391304347827,7,2
Belgium,USSR-altaji,0,0,0
USSR-altaji,Belgium,0,0,0
Belgium,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Belgium,0,0,0
Belgium,USSR-baskir,0,0,0
USSR-baskir,Belgium,0,0,0
Belgium,USSR-csuvas,0,0,0
USSR-csuvas,Belgium,0,0,0
Belgium,USSR-fehérorosz,0.058823529411764705,1,1
USSR-fehérorosz,Belgium,0.14285714285714285,1,0
