author,region1,region2
JÓZSEF Attila: Források:,Albania,Argentina
PETŐFI Sándor: Források:,Albania,Austria
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Austria
JÓZSEF Attila: Források:,Albania,Belgium
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Brasil
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Bulgaria
PETŐFI Sándor: Források:,Albania,Bulgaria
JÓZSEF Attila: Források:,Albania,Bulgaria
MÓRICZ Zsigmond: Források:,Albania,Bulgaria
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Bulgaria
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Colombia
PETŐFI Sándor: Források:,Albania,Cuba
NÉMETH László: Iszony,Albania,Cuba
JÓZSEF Attila: Források:,Albania,Cuba
PETŐFI Sándor: Források:,Albania,Czechoslovakia-cseh
NÉMETH László: Iszony,Albania,Czechoslovakia-cseh
JÓZSEF Attila: Források:,Albania,Czechoslovakia-cseh
MÓRICZ Zsigmond: Források:,Albania,Czechoslovakia-cseh
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Czechoslovakia-cseh
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Czechoslovakia-cseh
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Czechoslovakia-szlovák
PETŐFI Sándor: Források:,Albania,Czechoslovakia-szlovák
NÉMETH László: Iszony,Albania,Czechoslovakia-szlovák
JÓZSEF Attila: Források:,Albania,Czechoslovakia-szlovák
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Czechoslovakia-szlovák
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Czechoslovakia-szlovák
JÓZSEF Attila: Források:,Albania,Denmark
PETŐFI Sándor: Források:,Albania,Egypt
NÉMETH László: Iszony,Albania,Federal Republic of Germany
MÓRICZ Zsigmond: Források:,Albania,Federal Republic of Germany
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Federal Republic of Germany
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Federal Republic of Germany
PETŐFI Sándor: Források:,Albania,Finland
NÉMETH László: Iszony,Albania,Finland
MÓRICZ Zsigmond: Források:,Albania,Finland
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Finland
PETŐFI Sándor: Források:,Albania,France
NÉMETH László: Iszony,Albania,France
JÓZSEF Attila: Források:,Albania,France
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,France
MESTERHÁZI Lajos: Pár lépés a határ,Albania,GDR
PETŐFI Sándor: Források:,Albania,GDR
NÉMETH László: Iszony,Albania,GDR
JÓZSEF Attila: Források:,Albania,GDR
MÓRICZ Zsigmond: Források:,Albania,GDR
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,GDR
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Hungary
PETŐFI Sándor: Források:,Albania,Hungary
JÓZSEF Attila: Források:,Albania,Hungary
MÓRICZ Zsigmond: Források:,Albania,Hungary
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Hungary
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Hungary
PETŐFI Sándor: Források:,Albania,India
PETŐFI Sándor: Források:,Albania,Iran
MÓRICZ Zsigmond: Források:,Albania,Iran
PETŐFI Sándor: Források:,Albania,Israel
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Israel
PETŐFI Sándor: Források:,Albania,Italy
NÉMETH László: Iszony,Albania,Italy
JÓZSEF Attila: Források:,Albania,Italy
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Italy
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Japan
PETŐFI Sándor: Források:,Albania,Japan
PETŐFI Sándor: Források:,Albania,Mongolia
NÉMETH László: Iszony,Albania,Netherlands
PETŐFI Sándor: Források:,Albania,North Korea
PETŐFI Sándor: Források:,Albania,Norway
NÉMETH László: Iszony,Albania,Norway
JÓZSEF Attila: Források:,Albania,Norway
PETŐFI Sándor: Források:,Albania,PR China
JÓZSEF Attila: Források:,Albania,PR China
MÓRICZ Zsigmond: Források:,Albania,PR China
PETŐFI Sándor: Források:,Albania,Poland
NÉMETH László: Iszony,Albania,Poland
JÓZSEF Attila: Források:,Albania,Poland
MÓRICZ Zsigmond: Források:,Albania,Poland
