author,region1,region2
DÉRY Tibor: Niki,Argentina,Belgium
DÉRY Tibor: Niki,Argentina,Czechoslovakia-cseh
DÉRY Tibor: Niki,Argentina,Denmark
DÉRY Tibor: Niki,Argentina,Federal Republic of Germany
DÉRY Tibor: Niki,Argentina,Finland
DÉRY Tibor: Niki,Argentina,France
"KACZÉR Illés: Ne félj szolgám, Jákob",Argentina,Israel
KÖRMENDI Ferenc: Bűnösök,Argentina,Italy
DÉRY Tibor: Niki,Argentina,Italy
KÖRMENDI Ferenc: Bűnösök,Argentina,Netherlands
DÉRY Tibor: Niki,Argentina,Norway
DÉRY Tibor: Niki,Argentina,Poland
DÉRY Tibor: Niki,Argentina,Sweden
DÉRY Tibor: Niki,Argentina,Turkey
KÖRMENDI Ferenc: Bűnösök,Argentina,UK
"KACZÉR Illés: Ne félj szolgám, Jákob",Argentina,UK
DÉRY Tibor: Niki,Argentina,UK
DÉRY Tibor: Niki,Argentina,USA
DÉRY Tibor: Niki,Argentina,Yugoslavia
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Austria
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Belgium
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Brasil
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Federal Republic of Germany
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Finland
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,France
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Israel
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Netherlands
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Norway
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Sweden
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Turkey
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Australia,Yugoslavia
HARSÁNYI Zsolt: És mégis mozog a föld,Austria,Belgium
HARSÁNYI Zsolt: Magdolna,Austria,Belgium
PASSUTH László: Esőisten siratja Mexikót,Austria,Belgium
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Austria,Belgium
HARSÁNYI Zsolt: Élni jó. Rubens életének regénye,Austria,Belgium
HARSÁNYI Zsolt: Galgó három felesége,Austria,Belgium
PASSUTH László: Esőisten siratja Mexikót,Austria,Brasil
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Austria,Brasil
ILLÉS Béla: Szkipetárok,Austria,Bulgaria
ÖRKÉNY István: Házastársak,Austria,Bulgaria
ZILAHY Lajos: A fegyverek visszanéznek,Austria,Bulgaria
KRÚDY Gyula: A vörös postakocsi,Austria,Bulgaria
ZILAHY Lajos: A lélek kialszik,Austria,Chile
DÉRY Tibor: A befejezetlen mondat,Austria,Czechoslovakia-cseh
ILLÉS Béla: Szkipetárok,Austria,Czechoslovakia-cseh
PASSUTH László: Esőisten siratja Mexikót,Austria,Czechoslovakia-cseh
"FEJES Endre: Jó estét nyár, jó estét szerelem",Austria,Czechoslovakia-cseh
SZÁNTÓ György: Stradivari,Austria,Czechoslovakia-cseh
ILLYÉS Gyula: Kháron ladikján,Austria,Czechoslovakia-cseh
BALÁZS Béla: Álmodó ifjúság,Austria,Czechoslovakia-szlovák
ILLÉS Béla: Szkipetárok,Austria,Czechoslovakia-szlovák
PASSUTH László: Esőisten siratja Mexikót,Austria,Czechoslovakia-szlovák
ILLYÉS Gyula: Kháron ladikján,Austria,Czechoslovakia-szlovák
MÁRAI Sándor: Az igazi,Austria,Denmark
ESTERHÁZY Péter: A szív segédigéi,Austria,Denmark
BALÁZS Béla: Álmodó ifjúság,Austria,Federal Republic of Germany
DÉRY Tibor: A befejezetlen mondat,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: Ecce homo,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: És mégis mozog a föld,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: Magdolna,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: Mathias rex,Austria,Federal Republic of Germany
KOMÁROMI János: Zúg a fenyves,Austria,Federal Republic of Germany
MÁRAI Sándor: Az igazi,Austria,Federal Republic of Germany
MÁRAI Sándor: Válás Budán,Austria,Federal Republic of Germany
MÁRAI Sándor: Vendégjáték Bolzanóban,Austria,Federal Republic of Germany
VASZARY Gábor: Hárman egymás ellen,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Austria,Federal Republic of Germany
KÖRMENDI Ferenc: A budapesti kaland,Austria,Federal Republic of Germany
PASSUTH László: A mantuai herceg muzsikusa,Austria,Federal Republic of Germany
SZÁSZ Imre: Felhőfejes,Austria,Federal Republic of Germany
ESTERHÁZY Péter: A szív segédigéi,Austria,Federal Republic of Germany
ESTERHÁZY Péter: Ki szavatol a lady biztonságáért?,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: Élni jó. Rubens életének regénye,Austria,Federal Republic of Germany
HARSÁNYI Zsolt: Whisky szódával,Austria,Federal Republic of Germany
MÁRAI Sándor: Az igazi,Austria,Finland
ZILAHY Lajos: A fegyverek visszanéznek,Austria,Finland
ZILAHY Lajos: Valamit visz a víz,Austria,Finland
HARSÁNYI Zsolt: Magyar rapszódia: Liszt életének regénye,Austria,Finland
