author,region1,region2
SZABÓ Pál: Talpalatnyi föld,Bulgaria,China
ILLÉS Béla: Ég a Tisza,Bulgaria,China
JÓKAI Mór: Egy magyar nábob,Bulgaria,China
ACZÉL Tamás: Vihar és napsütés,Bulgaria,Czechoslovakia-cseh
SZABÓ Pál: Talpalatnyi föld,Bulgaria,Czechoslovakia-cseh
SZABÓ Pál: Isten malmai,Bulgaria,Czechoslovakia-cseh
BERKESI András: Októberi vihar,Bulgaria,Czechoslovakia-cseh
ILLÉS Béla: Ég a Tisza,Bulgaria,Czechoslovakia-cseh
SÓS György: Pettyes kalandjai,Bulgaria,Czechoslovakia-cseh
SZABÓ Magda: Mondják meg Zsófikának,Bulgaria,Czechoslovakia-cseh
BERKESI András−KARDOS György: Kopjások,Bulgaria,Czechoslovakia-cseh
FEKETE Gyula: Az orvos halála,Bulgaria,Czechoslovakia-cseh
ZALKA Miklós: Aknamező,Bulgaria,Czechoslovakia-cseh
KOSZTOLÁNYI Dezső: Pacsirta,Bulgaria,Czechoslovakia-cseh
SOMOGYI TÓTH Sándor: Gyerektükör,Bulgaria,Czechoslovakia-cseh
SZABÓ Magda: Régimódi történet,Bulgaria,Czechoslovakia-cseh
BERTHA Bulcsu: A kenguru,Bulgaria,Czechoslovakia-cseh
JÓKAI Mór: Fekete gyémántok,Bulgaria,Czechoslovakia-cseh
"Bogáti Péter: Az utolsó ember; avagy, C. Robinson különös története",Bulgaria,Czechoslovakia-cseh
SZABÓ Magda: Álarcosbál,Bulgaria,Czechoslovakia-cseh
CSUKÁS István: Keménykalap és krumpliorr,Bulgaria,Czechoslovakia-cseh
BERKESI András: Sellő a pecsétgyűrűn,Bulgaria,Czechoslovakia-cseh
NAGY Lajos: Pincenapló,Bulgaria,Czechoslovakia-cseh
BETLEN Oszkár: Élet a halál földjén,Bulgaria,Czechoslovakia-cseh
JÓKAI Anna: Tartozik és követel,Bulgaria,Czechoslovakia-cseh
DARVAS József: Város az ingoványon,Bulgaria,Czechoslovakia-cseh
SZAMOS Rudolf: Kántor nyomoz,Bulgaria,Czechoslovakia-cseh
TATAY Sándor: Puskák és galambok,Bulgaria,Czechoslovakia-cseh
ACZÉL Tamás: Vihar és napsütés,Bulgaria,Czechoslovakia-szlovák
GODA Gábor: Farkasok között,Bulgaria,Czechoslovakia-szlovák
RIDEG Sándor: Tűzpróba,Bulgaria,Czechoslovakia-szlovák
