author,region1,region2
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Austria
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Brasil
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Bulgaria
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Bulgaria
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Colombia
NÉMETH László: Iszony,Albania,Cuba
NÉMETH László: Iszony,Albania,Czechoslovakia-cseh
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Czechoslovakia-cseh
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Czechoslovakia-cseh
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Czechoslovakia-szlovák
NÉMETH László: Iszony,Albania,Czechoslovakia-szlovák
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Czechoslovakia-szlovák
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Czechoslovakia-szlovák
NÉMETH László: Iszony,Albania,Federal Republic of Germany
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Federal Republic of Germany
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Federal Republic of Germany
NÉMETH László: Iszony,Albania,Finland
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Finland
NÉMETH László: Iszony,Albania,France
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,France
MESTERHÁZI Lajos: Pár lépés a határ,Albania,GDR
NÉMETH László: Iszony,Albania,GDR
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,GDR
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Hungary
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,Hungary
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Hungary
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Israel
NÉMETH László: Iszony,Albania,Italy
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Italy
MESTERHÁZI Lajos: Pár lépés a határ,Albania,Japan
NÉMETH László: Iszony,Albania,Netherlands
NÉMETH László: Iszony,Albania,Norway
NÉMETH László: Iszony,Albania,Poland
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Poland
NÉMETH László: Iszony,Albania,Romania
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Romania
NÉMETH László: Iszony,Albania,Spain
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Spain
NÉMETH László: Iszony,Albania,Sweden
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Sweden
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,Turkey
NÉMETH László: Iszony,Albania,UK
NÉMETH László: Iszony,Albania,USA
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-grúz
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-litván
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-moldva
MESTERHÁZI Lajos: Pár lépés a határ,Albania,USSR-orosz
MURÁNYI KOVÁCS Endre: A firenzei varázsló,Albania,USSR-orosz
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-orosz
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-ukrán
MESTERHÁZI Lajos: Pár lépés a határ,Albania,USSR-észt
NÉMETH László: Iszony,Albania,USSR-észt
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-észt
MOLNÁR Ferenc: A Pál utcai fiúk,Albania,USSR-örmény
NÉMETH László: Iszony,Albania,Yugoslavia
