region1,region2,ratio,common,first
Albania,Albania,NA,NA,NA
Albania,Argentina,0,0,0
Argentina,Albania,0,0,0
Albania,Australia,0,0,0
Australia,Albania,0,0,0
Albania,Austria,0.25,1,1
Austria,Albania,0.014492753623188406,1,0
Albania,Belgium,0,0,0
Belgium,Albania,0,0,0
Albania,Brasil,0.25,1,0
Brasil,Albania,0.16666666666666666,1,1
Albania,Bulgaria,0.5,2,0.5
Bulgaria,Albania,0.018518518518518517,2,1.5
Albania,Canada,0,0,0
Canada,Albania,0,0,0
Albania,Chile,0,0,0
Chile,Albania,0,0,0
Albania,China,0,0,0
China,Albania,0,0,0
Albania,Colombia,0.25,1,0
Colombia,Albania,1,1,1
Albania,Cuba,0.25,1,1
Cuba,Albania,0.2,1,0
Albania,Czechoslovakia-cseh,0.75,3,0
Czechoslovakia-cseh,Albania,0.012605042016806723,3,3
Albania,Czechoslovakia-szlovák,1,4,0.5
Czechoslovakia-szlovák,Albania,0.013937282229965157,4,3.5
Albania,Denmark,0,0,0
Denmark,Albania,0,0,0
Albania,Egypt,0,0,0
Egypt,Albania,0,0,0
Albania,Federal Republic of Germany,0.75,3,0
Federal Republic of Germany,Albania,0.018292682926829267,3,3
Albania,Finland,0.5,2,0
Finland,Albania,0.045454545454545456,2,2
Albania,France,0.5,2,0
France,Albania,0.021505376344086023,2,2
Albania,GDR,0.75,3,1
GDR,Albania,0.01195219123505976,3,2
Albania,Greece,0,0,0
Greece,Albania,0,0,0
Albania,Hungary,0.75,3,1.5
Hungary,Albania,0.020689655172413793,3,1.5
Albania,India,0,0,0
India,Albania,0,0,0
Albania,Iran,0,0,0
Iran,Albania,0,0,0
Albania,Israel,0.25,1,0
Israel,Albania,0.03571428571428571,1,1
Albania,Italy,0.5,2,0
Italy,Albania,0.03333333333333333,2,2
Albania,Japan,0.25,1,1
Japan,Albania,0.058823529411764705,1,0
Albania,Malaysia,0,0,0
Malaysia,Albania,0,0,0
Albania,Mexico,0,0,0
Mexico,Albania,0,0,0
Albania,Mongolia,0,0,0
Mongolia,Albania,0,0,0
Albania,Netherlands,0.25,1,0
Netherlands,Albania,0.022727272727272728,1,1
Albania,Norway,0.25,1,0
Norway,Albania,0.05,1,1
Albania,Poland,0.5,2,0
Poland,Albania,0.008771929824561403,2,2
Albania,Portugal,0,0,0
Portugal,Albania,0,0,0
Albania,Romania,0.5,2,1
Romania,Albania,0.012578616352201259,2,1
Albania,Singapore,0,0,0
Singapore,Albania,0,0,0
Albania,South Korea,0,0,0
South Korea,Albania,0,0,0
Albania,Spain,0.5,2,0
Spain,Albania,0.029411764705882353,2,2
Albania,Sweden,0.5,2,1
Sweden,Albania,0.045454545454545456,2,1
Albania,Switzerland,0,0,0
Switzerland,Albania,0,0,0
Albania,Turkey,0.25,1,0
Turkey,Albania,0.03225806451612903,1,1
Albania,UK,0.25,1,0
UK,Albania,0.03125,1,1
Albania,USA,0.25,1,0
USA,Albania,0.02631578947368421,1,1
Albania,USSR-altaji,0,0,0
USSR-altaji,Albania,0,0,0
Albania,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Albania,0,0,0
Albania,USSR-csuvas,0,0,0
USSR-csuvas,Albania,0,0,0
Albania,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Albania,0,0,0
Albania,USSR-finn,0,0,0
USSR-finn,Albania,0,0,0
Albania,USSR-grúz,0.25,1,1
USSR-grúz,Albania,0.038461538461538464,1,0
Albania,USSR-kazah,0,0,0
USSR-kazah,Albania,0,0,0
Albania,USSR-kirgiz,0,0,0
USSR-kirgiz,Albania,0,0,0
Albania,USSR-lett,0,0,0
USSR-lett,Albania,0,0,0
Albania,USSR-litván,0.25,1,0
USSR-litván,Albania,0.027777777777777776,1,1
Albania,USSR-moldva,0.25,1,0
